FECHA,ACUMULADAS
-,601
05/03/2020,636
06/03/2020,739
07/03/2020,810
08/03/2020,813
09/03/2020,851
10/03/2020,927
11/03/2020,1133
12/03/2020,1393
13/03/2020,1754
14/03/2020,2343
15/03/2020,3176
16/03/2020,3607
17/03/2020,3931
18/03/2020,4690
19/03/2020,5363
20/03/2020,5766
21/03/2020,6064
22/03/2020,6910
23/03/2020,7285
24/03/2020,8051
25/03/2020,8797
26/03/2020,9228
27/03/2020,9486
28/03/2020,10851
29/03/2020,12325
30/03/2020,13816
31/03/2020,17863
01/04/2020,20253
02/04/2020,21412
03/04/2020,22752
04/04/2020,23989
05/04/2020,25547
06/04/2020,27968
07/04/2020,30728
08/04/2020,33858
09/04/2020,35193
10/04/2020,37876
11/04/2020,40618
12/04/2020,41780
13/04/2020,43036
14/04/2020,45351
15/04/2020,48556
16/04/2020,52013
17/04/2020,55501
18/04/2020,58930
19/04/2020,62674
20/04/2020,65097
21/04/2020,68356
22/04/2020,71407
23/04/2020,74864
24/04/2020,77985
25/04/2020,81053
26/04/2020,87106
27/04/2020,90899
28/04/2020,95085
29/04/2020,100153
30/04/2020,104657
01/05/2020,108950
02/05/2020,114602
03/05/2020,118801
04/05/2020,123029
05/05/2020,127105
06/05/2020,131110
07/05/2020,135352
08/05/2020,139739
09/05/2020,144912
10/05/2020,151396
11/05/2020,158933
12/05/2020,165738
13/05/2020,171779
14/05/2020,177050
15/05/2020,183112
16/05/2020,190114
17/05/2020,196417
18/05/2020,201888
19/05/2020,208046
20/05/2020,214536
21/05/2020,222110
22/05/2020,235948
23/05/2020,243119
24/05/2020,252742
25/05/2020,260812
26/05/2020,271118
27/05/2020,283464
28/05/2020,295614
29/05/2020,306411
30/05/2020,319779
31/05/2020,331817
01/06/2020,341142
02/06/2020,350123
03/06/2020,362432
04/06/2020,374592
05/06/2020,386938
06/06/2020,399505
07/06/2020,410719
08/06/2020,421723
09/06/2020,432870
10/06/2020,444933
11/06/2020,458324
12/06/2020,470351
13/06/2020,482832
14/06/2020,495024
15/06/2020,507588
16/06/2020,519990
17/06/2020,535220
18/06/2020,550611
19/06/2020,568324
20/06/2020,585822
21/06/2020,604273
22/06/2020,620288
23/06/2020,634611
24/06/2020,651592
25/06/2020,670093
26/06/2020,688959
27/06/2020,707688
28/06/2020,725828
29/06/2020,743437
30/06/2020,760719
01/07/2020,778773
02/07/2020,798108
03/07/2020,818703
04/07/2020,839731
05/07/2020,860731
06/07/2020,881190
07/07/2020,902305
08/07/2020,923714
09/07/2020,945240
10/07/2020,968465
11/07/2020,1006093
12/07/2020,1031230
13/07/2020,1056814
14/07/2020,1082415
15/07/2020,1108148
16/07/2020,1133507
17/07/2020,1159562
18/07/2020,1185984
19/07/2020,1210063
20/07/2020,1236569
21/07/2020,1263700
22/07/2020,1292501
23/07/2020,1320935
24/07/2020,1349502
25/07/2020,1379043
26/07/2020,1409124
27/07/2020,1439436
28/07/2020,1470613
29/07/2020,1502809
30/07/2020,1537689
31/07/2020,1573679
01/08/2020,1609729
02/08/2020,1647395
03/08/2020,1685530
04/08/2020,1723508
05/08/2020,1761772
06/08/2020,1801835
07/08/2020,1842292
08/08/2020,1877368
09/08/2020,1909111
10/08/2020,1942730
11/08/2020,1982831
12/08/2020,2023256
13/08/2020,2063332
14/08/2020,2104766
15/08/2020,2143097
16/08/2020,2177989
17/08/2020,2210712
18/08/2020,2246595
19/08/2020,2277515
20/08/2020,2309447
21/08/2020,2340101
22/08/2020,2374068
23/08/2020,2396892
24/08/2020,2427941
25/08/2020,2458866
26/08/2020,2489430
27/08/2020,2519489
28/08/2020,2547838
29/08/2020,2572824
30/08/2020,2599703
31/08/2020,2625052
01/09/2020,2647702
02/09/2020,2676154
03/09/2020,2699889
04/09/2020,2728423
05/09/2020,2753032
06/09/2020,2776144
07/09/2020,2798000
08/09/2020,2819479
09/09/2020,2843509
10/09/2020,2868291
11/09/2020,2896974
12/09/2020,2921344
13/09/2020,2947874
14/09/2020,2970260
15/09/2020,2994209
16/09/2020,3018946
17/09/2020,3043717
18/09/2020,3065390
19/09/2020,3087776
20/09/2020,3112467
21/09/2020,3136243
22/09/2020,3160591
23/09/2020,3185614
24/09/2020,3207772
25/09/2020,3232499
26/09/2020,3254789
27/09/2020,3277609
28/09/2020,3302476
29/09/2020,3324160
30/09/2020,3347307
01/10/2020,3370811
02/10/2020,3399218
03/10/2020,3426066
04/10/2020,3454160
05/10/2020,3477721
06/10/2020,3501602
07/10/2020,3526959
08/10/2020,3550223
09/10/2020,3583083
10/10/2020,3612284
11/10/2020,3638978
12/10/2020,3661140
13/10/2020,3681799
14/10/2020,3702743
15/10/2020,3724649
16/10/2020,3750011
17/10/2020,3778867
18/10/2020,3805311
19/10/2020,3832297
20/10/2020,3857620
21/10/2020,3892159
22/10/2020,3922999
23/10/2020,3958929
24/10/2020,3994876
25/10/2020,4018323
26/10/2020,4048373
27/10/2020,4074671
