date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,1,1,1,1,0,0
07/03/2020,0,1,0,1,0,0
08/03/2020,0,1,0,1,0,0
09/03/2020,2,3,2,3,0,0
10/03/2020,0,3,0,3,0,0
11/03/2020,6,9,6,9,0,0
12/03/2020,5,14,5,14,0,0
13/03/2020,5,19,5,19,0,0
14/03/2020,18,37,18,37,0,0
15/03/2020,16,53,16,53,0,0
16/03/2020,14,67,13,66,1,1
17/03/2020,25,92,25,91,0,1
18/03/2020,12,104,12,103,0,1
19/03/2020,26,130,26,129,0,1
20/03/2020,48,178,45,174,3,4
21/03/2020,34,212,32,206,1,5
22/03/2020,29,241,28,234,1,6
23/03/2020,73,314,69,303,4,10
24/03/2020,105,419,101,404,3,13
25/03/2020,61,480,60,464,1,14
26/03/2020,10,490,9,473,1,15
27/03/2020,49,539,45,518,4,19
28/03/2020,69,608,63,581,5,24
29/03/2020,94,702,91,672,3,27
30/03/2020,96,798,86,758,9,36
31/03/2020,107,905,100,858,6,42
01/04/2020,160,1065,145,1003,12,54
02/04/2020,96,1161,92,1095,4,58
03/04/2020,105,1266,93,1188,9,67
04/04/2020,140,1406,127,1315,11,78
05/04/2020,79,1485,70,1385,7,85
06/04/2020,94,1579,83,1468,10,95
07/04/2020,129,1708,118,1586,9,104
08/04/2020,346,2054,317,1903,22,126
09/04/2020,169,2223,146,2049,18,144
10/04/2020,251,2474,229,2278,16,160
11/04/2020,235,2709,201,2479,27,187
12/04/2020,67,2776,60,2539,6,193
13/04/2020,76,2852,70,2609,1,194
14/04/2020,126,2978,118,2727,6,200
15/04/2020,125,3103,111,2838,12,212
16/04/2020,128,3231,117,2955,10,222
17/04/2020,205,3436,193,3148,9,231
18/04/2020,183,3619,169,3317,11,242
19/04/2020,174,3793,169,3486,3,245
20/04/2020,182,3975,171,3657,9,254
21/04/2020,171,4146,155,3812,8,262
22/04/2020,193,4339,186,3998,4,266
23/04/2020,194,4533,171,4169,16,282
24/04/2020,304,4837,273,4442,14,296
25/04/2020,261,5098,242,4684,12,308
26/04/2020,237,5335,223,4907,6,314
27/04/2020,218,5553,210,5117,4,318
28/04/2020,354,5907,326,5443,21,339
29/04/2020,261,6168,231,5674,13,352
30/04/2020,296,6464,268,5942,19,371
01/05/2020,500,6964,450,6392,18,389
02/05/2020,277,7241,243,6635,17,406
03/05/2020,423,7664,402,7037,13,419
04/05/2020,307,7971,290,7327,8,427
05/05/2020,641,8612,573,7900,38,465
06/05/2020,347,8959,324,8224,8,473
07/05/2020,497,9456,467,8691,12,485
08/05/2020,595,10051,536,9227,29,514
09/05/2020,444,10495,398,9625,16,530
10/05/2020,568,11063,505,10130,26,556
11/05/2020,550,11613,490,10620,20,576
12/05/2020,658,12271,311,10931,23,599
13/05/2020,659,12930,209,11140,22,621
14/05/2020,680,13610,218,11358,24,645
15/05/2020,606,14216,139,11497,17,662
16/05/2020,723,14939,145,11642,26,688
17/05/2020,635,15574,121,11763,15,703
18/05/2020,721,16295,84,11847,18,721
19/05/2020,640,16935,114,11961,24,745
20/05/2020,752,17687,85,12046,23,768
21/05/2020,643,18330,60,12106,17,785
22/05/2020,801,19131,66,12172,23,808
23/05/2020,1046,20177,26,12198,31,839
24/05/2020,998,21175,17,12215,26,865
25/05/2020,806,21981,11,12226,13,878
26/05/2020,1022,23003,5,12231,14,892
27/05/2020,1101,24104,4,12235,15,907
28/05/2020,1262,25366,7,12242,23,930
29/05/2020,1322,26688,2,12244,25,955
30/05/2020,1548,28236,16,12260,36,991
31/05/2020,1147,29383,27,12287,14,1005
01/06/2020,1110,30493,1,12288,8,1013
02/06/2020,1340,31833,0,12288,27,1040
03/06/2020,1521,33354,0,12288,5,1045
