age,total
32,77
29,73
30,70
28,69
26,68
31,66
33,62
39,59
36,58
34,58
48,55
45,54
24,53
58,53
54,53
50,53
25,52
38,52
47,51
27,51
35,50
42,50
57,49
37,49
55,48
40,47
49,46
41,44
59,43
51,42
44,41
53,41
23,40
56,39
62,39
52,38
61,38
60,37
22,37
43,35
21,34
64,32
66,30
46,29
65,28
67,25
63,25
72,25
18,23
70,23
73,22
19,20
68,20
71,19
69,19
20,18
74,17
75,14
15,14
2,13
78,12
77,12
80,10
8,10
76,10
79,9
9,9
17,9
12,8
0,8
82,8
84,7
1,7
83,7
16,7
85,7
5,7
13,7
14,6
87,6
88,6
6,5
3,5
81,5
10,4
11,4
89,3
91,3
93,3
4,2
94,2
90,2
86,2
7,2
95,1
92,1
96,1
97,1
98,1
