age,sex,total
30,F,45
32,M,42
28,M,40
29,M,39
26,F,39
31,M,38
32,F,38
36,M,37
28,F,37
31,F,36
35,M,36
29,F,36
47,F,36
33,F,36
58,M,35
54,M,34
25,M,33
38,F,32
42,F,32
39,F,32
26,M,31
37,M,31
34,F,31
34,M,31
45,F,31
33,M,31
50,M,31
36,F,30
27,F,30
51,M,30
45,M,30
59,M,30
24,M,30
40,F,30
41,M,29
57,M,29
48,F,29
48,M,29
55,M,29
30,M,29
42,M,28
39,M,28
24,F,28
44,F,27
50,F,27
38,M,27
57,F,26
22,F,26
37,F,26
23,F,26
49,M,26
58,F,24
52,M,24
62,M,24
52,F,24
27,M,24
53,F,23
56,M,23
55,F,23
54,F,23
64,M,23
53,M,23
21,F,22
25,F,22
49,F,22
40,M,22
47,M,21
56,F,21
61,F,20
70,M,20
46,M,20
43,M,20
72,M,20
66,M,20
61,M,20
60,F,19
43,F,19
67,F,19
60,M,19
23,M,19
51,F,19
41,F,18
62,F,17
59,F,17
44,M,17
63,F,17
35,F,17
65,M,16
20,M,16
21,M,16
65,F,15
68,F,14
18,F,14
66,F,14
73,M,13
22,M,13
74,F,13
46,F,12
71,M,12
73,F,11
18,M,11
69,F,11
19,F,11
64,F,11
63,M,11
75,M,11
69,M,10
77,M,10
19,M,9
70,F,9
68,M,9
67,M,9
8,F,8
71,F,8
78,M,8
15,M,8
2,M,7
10,M,7
15,F,7
2,F,7
80,F,7
74,M,7
20,F,7
17,M,6
14,M,6
13,M,6
12,M,6
1,F,6
75,F,6
79,F,6
85,F,6
76,M,6
76,F,6
72,F,6
80,M,5
17,F,5
82,M,5
78,F,5
79,M,5
84,F,5
9,F,5
16,F,5
84,M,4
83,F,4
93,F,4
81,M,4
87,F,4
9,M,4
88,M,4
8,M,4
3,M,4
6,M,4
1,M,4
5,M,4
5,F,4
3,F,3
82,F,3
77,F,3
83,M,3
11,M,3
11,F,3
6,F,3
14,F,3
87,M,3
4,F,2
12,F,2
16,M,2
94,F,2
90,M,2
91,F,2
85,M,2
81,F,2
89,F,2
88,F,2
86,F,2
7,F,2
7,M,2
90,F,1
97,F,1
10,F,1
96,F,1
13,F,1
95,F,1
89,M,1
4,M,1
86,M,1
92,M,1
91,M,1
98,M,1
