country_origin,total
Colombia,2338
España,252
Estados Unidos De América,193
Ecuador,47
Mexico,44
Panama,30
Turquia,26
Brasil,19
Jamaica,17
Francia,14
Puerto Rico,12
Italia,10
Alemania,10
República Dominicana,9
Egipto,8
Londres,8
Peru,7
Isla San Martin,7
Inglaterra,5
Canada,4
Israel,4
Grecia,3
Argentina,3
Venezuela,3
Cuba,2
Costa Rica,2
Europa,2
Aruba,2
Marruecos,2
Tolima,2
Chile,2
Arabia,1
Turquía,1
Australia,1
Belgica,1
Suiza,1
Reino Unido De Gran Bretaña E Irlanda Del,1
Uruguay,1
Croacia,1
Honduras,1
Curazao,1
Dubai,1
Paris,1
Emiratos Arabes,1
Kenia,1
Estados Unidos,1
Israel - Egipto,1
Irlanda,1
Guatemala,1
