dept_dist,total,lat,lng
Bogota D.C.,1164,4.59808,-74.0760439
Valle del Cauca,473,4.0639569,-76.12337674536764
Antioquia,253,7.153843350000001,-75.444040009994
Cartagena D.T. y C,108,2.8894434,-73.783892
Cundinamarca,105,5.0000086,-74.1666756
Barranquilla D.E.,65,6.2646341,-75.5693208
Risaralda,58,5.2102948,-75.9842236
Santa Marta D.T. y C.,54,2.8894434,-73.783892
Huila,52,2.4738993,-75.5900113
Quindio,47,4.3435926,-75.7232898
Norte de Santander,41,8.4417924,-73.0492505
Narino,38,1.5,-78.0000086
Caldas,33,5.3302514,-75.2873471
Cesar,32,9.3333415,-73.5000086
Boyaca,31,5.6278979,-72.8268617
Santander,27,7.0000085,-73.2500086
Tolima,23,3.7500086,-75.2500086
Meta,21,3.5000086,-73.0000086
Cauca,19,2.715645,-76.662665
Atlantico,19,10.7500084,-75.0000086
Cordoba,13,8.3344713,-75.6666238
Bolivar,9,9.0,-74.333333
Casanare,7,5.5000085,-71.5000086
Buenaventura D.E.,6,3.8899335,-77.0786047
San Andres,5,6.8180711,-72.8207060823598
Magdalena,3,10.0000085,-74.5000086
La Guajira,1,11.2780115,-72.6135766
Sucre,1,9.0,-75.0
Choco,1,6.0000085,-77.0000086
