date,care,total,cumsum
17/03/2020,Hospital,1,1
20/03/2020,Hospital,1,2
22/03/2020,Hospital,1,3
24/03/2020,Hospital,2,5
27/03/2020,Hospital,1,6
28/03/2020,Hospital,4,10
30/03/2020,Hospital,4,14
01/04/2020,Hospital,10,24
02/04/2020,Hospital,3,27
03/04/2020,Hospital,11,38
04/04/2020,Hospital,8,46
05/04/2020,Hospital,10,56
06/04/2020,Hospital,10,66
07/04/2020,Hospital,21,87
08/04/2020,Hospital,38,125
09/04/2020,Hospital,31,156
10/04/2020,Hospital,35,191
11/04/2020,Hospital,38,229
12/04/2020,Hospital,13,242
13/04/2020,Hospital,17,259
14/04/2020,Hospital,22,281
15/04/2020,Hospital,29,310
16/04/2020,Hospital,14,324
