date,cases,accum_cases,recovered,accum_recovered,deaths,accum_deaths
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,1,1,1,1,0,0
07/03/2020,0,1,0,1,0,0
08/03/2020,0,1,0,1,0,0
09/03/2020,2,3,2,3,0,0
10/03/2020,0,3,0,3,0,0
11/03/2020,6,9,6,9,0,0
12/03/2020,4,13,4,13,0,0
13/03/2020,3,16,3,16,0,0
14/03/2020,8,24,8,24,0,0
15/03/2020,21,45,17,41,0,0
16/03/2020,12,57,12,53,0,0
17/03/2020,18,75,10,63,0,0
18/03/2020,27,102,19,82,0,0
19/03/2020,26,128,16,98,0,0
20/03/2020,47,175,25,123,3,3
21/03/2020,35,210,21,144,2,5
22/03/2020,30,240,16,160,1,6
23/03/2020,66,306,28,188,3,9
24/03/2020,113,419,27,215,3,12
25/03/2020,62,481,16,231,1,13
26/03/2020,10,491,1,232,1,14
27/03/2020,48,539,6,238,4,18
28/03/2020,69,608,13,251,5,23
29/03/2020,94,702,9,260,2,25
30/03/2020,96,798,6,266,6,31
31/03/2020,108,906,15,281,4,35
01/04/2020,159,1065,9,290,8,43
02/04/2020,96,1161,6,296,3,46
03/04/2020,106,1267,4,300,7,53
04/04/2020,139,1406,5,305,8,61
05/04/2020,79,1485,3,308,3,64
06/04/2020,94,1579,3,311,7,71
07/04/2020,201,1780,9,320,8,79
08/04/2020,274,2054,4,324,13,92
09/04/2020,169,2223,4,328,12,104
10/04/2020,250,2473,3,331,8,112
11/04/2020,236,2709,4,335,11,123
12/04/2020,67,2776,0,335,3,126
13/04/2020,76,2852,0,335,1,127
14/04/2020,127,2979,0,335,0,127
15/04/2020,0,2979,0,335,0,127
