date,cases,accum_cases,recovered,accum_recovered,deaths,accum_deaths
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,1,1,1,1,0,0
10/03/2020,0,1,0,1,0,0
11/03/2020,2,3,2,3,0,0
12/03/2020,0,3,0,3,0,0
13/03/2020,0,3,0,3,0,0
14/03/2020,3,6,2,5,0,0
15/03/2020,1,7,1,6,0,0
16/03/2020,0,7,0,6,0,0
17/03/2020,0,7,0,6,0,0
18/03/2020,0,7,0,6,0,0
19/03/2020,3,10,2,8,0,0
20/03/2020,7,17,6,14,0,0
21/03/2020,1,18,0,14,0,0
22/03/2020,2,20,1,15,0,0
23/03/2020,13,33,9,24,0,0
24/03/2020,0,33,0,24,0,0
25/03/2020,6,39,6,30,0,0
26/03/2020,0,39,0,30,0,0
27/03/2020,0,39,0,30,0,0
28/03/2020,4,43,3,33,0,0
29/03/2020,8,51,7,40,0,0
30/03/2020,8,59,6,46,0,0
31/03/2020,4,63,4,50,0,0
01/04/2020,1,64,0,50,0,0
02/04/2020,10,74,7,57,0,0
03/04/2020,11,85,6,63,0,0
04/04/2020,2,87,1,64,0,0
05/04/2020,9,96,3,67,0,0
06/04/2020,5,101,1,68,1,1
07/04/2020,23,124,2,70,0,1
08/04/2020,19,143,1,71,0,1
09/04/2020,2,145,0,71,0,1
10/04/2020,5,150,0,71,0,1
11/04/2020,4,154,0,71,0,1
12/04/2020,7,161,0,71,0,1
13/04/2020,12,173,0,71,0,1
14/04/2020,17,190,0,71,0,1
15/04/2020,13,203,0,71,0,1
16/04/2020,8,211,0,71,0,1
17/04/2020,3,214,0,71,0,1
18/04/2020,0,214,0,71,0,1
