date,cases,accum_cases,recovered,accum_recovered,deaths,accum_deaths
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,3,3,2,2,0,0
19/03/2020,0,3,0,2,0,0
20/03/2020,1,4,1,3,0,0
21/03/2020,1,5,1,4,0,0
22/03/2020,2,7,0,4,0,0
23/03/2020,0,7,0,4,0,0
24/03/2020,3,10,2,6,1,1
25/03/2020,2,12,2,8,0,1
26/03/2020,0,12,0,8,0,1
27/03/2020,0,12,0,8,0,1
28/03/2020,0,12,0,8,0,1
29/03/2020,8,20,2,10,0,1
30/03/2020,0,20,0,10,0,1
31/03/2020,5,25,3,13,0,1
01/04/2020,0,25,0,13,0,1
02/04/2020,0,25,0,13,0,1
03/04/2020,2,27,0,13,0,1
04/04/2020,0,27,0,13,0,1
05/04/2020,0,27,0,13,0,1
06/04/2020,0,27,0,13,0,1
07/04/2020,4,31,1,14,0,1
08/04/2020,1,32,0,14,1,2
09/04/2020,1,33,0,14,0,2
10/04/2020,2,35,0,14,1,3
11/04/2020,3,38,0,14,0,3
12/04/2020,2,40,0,14,0,3
13/04/2020,1,41,0,14,0,3
14/04/2020,3,44,0,14,0,3
15/04/2020,2,46,0,14,0,3
16/04/2020,0,46,0,14,0,3
