date,cases,accum_cases,recovered,accum_recovered,deaths,accum_deaths
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,1,1,1,1,0,0
10/03/2020,0,1,0,1,0,0
11/03/2020,3,4,3,4,0,0
12/03/2020,0,4,0,4,0,0
13/03/2020,0,4,0,4,0,0
14/03/2020,3,7,3,7,0,0
15/03/2020,1,8,1,8,0,0
16/03/2020,0,8,0,8,0,0
17/03/2020,0,8,0,8,0,0
18/03/2020,0,8,0,8,0,0
19/03/2020,3,11,2,10,0,0
20/03/2020,11,22,10,20,0,0
21/03/2020,3,25,2,22,0,0
22/03/2020,5,30,4,26,0,0
23/03/2020,22,52,17,43,0,0
24/03/2020,0,52,0,43,0,0
25/03/2020,8,60,7,50,0,0
26/03/2020,0,60,0,50,0,0
27/03/2020,0,60,0,50,0,0
28/03/2020,7,67,4,54,0,0
29/03/2020,19,86,16,70,0,0
30/03/2020,10,96,6,76,0,0
31/03/2020,5,101,4,80,0,0
01/04/2020,6,107,3,83,0,0
02/04/2020,20,127,12,95,0,0
03/04/2020,19,146,11,106,0,0
04/04/2020,4,150,1,107,0,0
05/04/2020,22,172,3,110,0,0
06/04/2020,11,183,3,113,1,1
07/04/2020,25,208,2,115,0,1
08/04/2020,27,235,1,116,0,1
09/04/2020,4,239,0,116,0,1
10/04/2020,7,246,0,116,0,1
11/04/2020,6,252,0,116,0,1
12/04/2020,8,260,0,116,0,1
13/04/2020,12,272,0,116,0,1
14/04/2020,17,289,0,116,0,1
15/04/2020,12,301,0,116,0,1
16/04/2020,14,315,0,116,0,1
17/04/2020,9,324,0,116,0,1
