date,cases,accum_cases,recovered,accum_recovered,deaths,accum_deaths
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,1,1,1,1,0,0
12/03/2020,0,1,0,1,0,0
13/03/2020,0,1,0,1,0,0
14/03/2020,0,1,0,1,0,0
15/03/2020,2,3,2,3,0,0
16/03/2020,0,3,0,3,0,0
17/03/2020,2,5,2,5,0,0
18/03/2020,2,7,1,6,0,0
19/03/2020,2,9,2,8,0,0
20/03/2020,0,9,0,8,0,0
21/03/2020,5,14,3,11,1,1
22/03/2020,0,14,0,11,0,1
23/03/2020,2,16,1,12,0,1
24/03/2020,5,21,3,15,0,1
25/03/2020,5,26,2,17,0,1
26/03/2020,0,26,0,17,0,1
27/03/2020,0,26,0,17,0,1
28/03/2020,1,27,1,18,0,1
29/03/2020,7,34,2,20,1,2
30/03/2020,3,37,1,21,1,3
31/03/2020,2,39,2,23,0,3
01/04/2020,0,39,0,23,0,3
02/04/2020,0,39,0,23,0,3
03/04/2020,3,42,3,26,0,3
04/04/2020,0,42,0,26,0,3
05/04/2020,0,42,0,26,0,3
06/04/2020,11,53,5,31,0,3
07/04/2020,6,59,1,32,2,5
08/04/2020,6,65,0,32,0,5
09/04/2020,14,79,3,35,3,8
10/04/2020,21,100,0,35,0,8
11/04/2020,8,108,0,35,1,9
12/04/2020,6,114,0,35,0,9
13/04/2020,11,125,0,35,0,9
14/04/2020,10,135,0,35,0,9
15/04/2020,22,157,0,35,0,9
16/04/2020,14,171,0,35,0,9
17/04/2020,1,172,0,35,0,9
