date,cases,accum_cases,recovered,accum_recovered,deaths,accum_deaths
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,2,2,1,1,0,0
13/03/2020,0,2,0,1,0,0
14/03/2020,0,2,0,1,0,0
15/03/2020,6,8,5,6,0,0
16/03/2020,0,8,0,6,0,0
17/03/2020,0,8,0,6,0,0
18/03/2020,2,10,1,7,0,0
19/03/2020,1,11,1,8,0,0
20/03/2020,1,12,0,8,0,0
21/03/2020,1,13,1,9,0,0
22/03/2020,1,14,0,9,0,0
23/03/2020,2,16,0,9,1,1
24/03/2020,3,19,0,9,0,1
25/03/2020,1,20,0,9,0,1
26/03/2020,0,20,0,9,0,1
27/03/2020,0,20,0,9,0,1
28/03/2020,0,20,0,9,0,1
29/03/2020,2,22,2,11,0,1
30/03/2020,5,27,2,13,1,2
31/03/2020,3,30,3,16,0,2
01/04/2020,7,37,2,18,0,2
02/04/2020,0,37,0,18,0,2
03/04/2020,2,39,1,19,0,2
04/04/2020,2,41,0,19,0,2
05/04/2020,0,41,0,19,0,2
06/04/2020,1,42,0,19,0,2
07/04/2020,0,42,0,19,0,2
08/04/2020,4,46,0,19,0,2
09/04/2020,2,48,0,19,0,2
10/04/2020,2,50,0,19,0,2
11/04/2020,11,61,1,20,1,3
12/04/2020,0,61,0,20,0,3
13/04/2020,6,67,0,20,0,3
14/04/2020,3,70,0,20,0,3
15/04/2020,0,70,0,20,0,3
16/04/2020,5,75,0,20,0,3
17/04/2020,3,78,0,20,0,3
