date,cases,accum_cases,recovered,accum_recovered,deaths,accum_deaths
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,1,1,0,0,0,0
16/03/2020,0,1,0,0,0,0
17/03/2020,0,1,0,0,0,0
18/03/2020,5,6,4,4,0,0
19/03/2020,0,6,0,4,0,0
20/03/2020,1,7,1,5,0,0
21/03/2020,1,8,1,6,0,0
22/03/2020,5,13,1,7,0,0
23/03/2020,1,14,1,8,0,0
24/03/2020,3,17,2,10,1,1
25/03/2020,2,19,2,12,0,1
26/03/2020,0,19,0,12,0,1
27/03/2020,0,19,0,12,0,1
28/03/2020,0,19,0,12,0,1
29/03/2020,10,29,3,15,0,1
30/03/2020,0,29,0,15,0,1
31/03/2020,6,35,3,18,0,1
01/04/2020,0,35,0,18,0,1
02/04/2020,0,35,0,18,0,1
03/04/2020,2,37,1,19,0,1
04/04/2020,0,37,0,19,0,1
05/04/2020,0,37,0,19,0,1
06/04/2020,0,37,0,19,0,1
07/04/2020,8,45,1,20,0,1
08/04/2020,2,47,0,20,1,2
09/04/2020,3,50,0,20,0,2
10/04/2020,3,53,0,20,1,3
11/04/2020,6,59,0,20,0,3
12/04/2020,3,62,0,20,0,3
13/04/2020,1,63,0,20,0,3
14/04/2020,14,77,0,20,0,3
15/04/2020,15,92,0,20,1,4
16/04/2020,13,105,0,20,0,4
17/04/2020,19,124,0,20,0,4
18/04/2020,0,124,0,20,0,4
