date,cases,accum_cases,recovered,accum_recovered,deaths,accum_deaths
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,1,1,1,1,0,0
10/03/2020,0,1,0,1,0,0
11/03/2020,0,1,0,1,0,0
12/03/2020,0,1,0,1,0,0
13/03/2020,1,2,1,2,0,0
14/03/2020,0,2,0,2,0,0
15/03/2020,1,3,0,2,0,0
16/03/2020,0,3,0,2,0,0
17/03/2020,2,5,2,4,0,0
18/03/2020,8,13,6,10,0,0
19/03/2020,1,14,0,10,0,0
20/03/2020,1,15,0,10,0,0
21/03/2020,12,27,5,15,1,1
22/03/2020,5,32,2,17,0,1
23/03/2020,6,38,3,20,1,2
24/03/2020,29,67,11,31,0,2
25/03/2020,5,72,2,33,1,3
26/03/2020,2,74,1,34,0,3
27/03/2020,0,74,0,34,0,3
28/03/2020,11,85,2,36,1,4
29/03/2020,8,93,0,36,1,5
30/03/2020,13,106,2,38,3,8
31/03/2020,11,117,4,42,0,8
01/04/2020,31,148,6,48,0,8
02/04/2020,3,151,1,49,0,8
03/04/2020,15,166,1,50,2,10
04/04/2020,14,180,1,51,0,10
05/04/2020,16,196,0,51,0,10
06/04/2020,12,208,2,53,2,12
07/04/2020,40,248,4,57,2,14
08/04/2020,62,310,0,57,3,17
09/04/2020,33,343,1,58,3,20
10/04/2020,72,415,1,59,2,22
11/04/2020,58,473,4,63,2,24
12/04/2020,16,489,0,63,0,24
13/04/2020,12,501,0,63,0,24
14/04/2020,15,516,0,63,1,25
15/04/2020,24,540,0,63,0,25
16/04/2020,35,575,1,64,1,26
17/04/2020,38,613,0,64,0,26
