FECHA,MUESTRAS PROCESADAS SEGUN FECHA DE RESULTADO ACUMULADAS
-,
04/03/2020,2
05/03/2020,37
06/03/2020,140
07/03/2020,211
08/03/2020,214
09/03/2020,252
10/03/2020,328
11/03/2020,534
12/03/2020,794
13/03/2020,1155
14/03/2020,1383
15/03/2020,1502
16/03/2020,1828
17/03/2020,1924
18/03/2020,2557
19/03/2020,2723
20/03/2020,3795
21/03/2020,4385
22/03/2020,5014
23/03/2020,6207
24/03/2020,6677
25/03/2020,8290
26/03/2020,9677
27/03/2020,10414
28/03/2020,12416
29/03/2020,13260
30/03/2020,14584
31/03/2020,15955
01/04/2020,17140
02/04/2020,18977
03/04/2020,20026
04/04/2020,21289
05/04/2020,22337
06/04/2020,24561
07/04/2020,27345
08/04/2020,28845
09/04/2020,32745
10/04/2020,35566
11/04/2020,38399
12/04/2020,41717
13/04/2020,48704
14/04/2020,50463
15/04/2020,55145
16/04/2020,57542
17/04/2020,59230
18/04/2020,61723
19/04/2020,64949
20/04/2020,68077
21/04/2020,70615
22/04/2020,74399
23/04/2020,77597
24/04/2020,82096
25/04/2020,87454
26/04/2020,90895
27/04/2020,95720
28/04/2020,100248
29/04/2020,103390
30/04/2020,107314
01/05/2020,108950
