date,accum
01/03/2020,0
02/03/2020,0
-,42
04/03/2020,26
05/03/2020,1
06/03/2020,45
07/03/2020,68
08/03/2020,16
09/03/2020,22
10/03/2020,65
11/03/2020,200
12/03/2020,217
13/03/2020,339
14/03/2020,137
15/03/2020,118
16/03/2020,318
17/03/2020,91
18/03/2020,638
19/03/2020,145
20/03/2020,1035
21/03/2020,561
22/03/2020,606
23/03/2020,1287
24/03/2020,247
25/03/2020,3323
26/03/2020,1368
27/03/2020,698
28/03/2020,1955
29/03/2020,824
30/03/2020,1344
31/03/2020,1354
01/04/2020,1193
02/04/2020,1890
03/04/2020,1116
04/04/2020,1092
05/04/2020,1572
06/04/2020,1734
07/04/2020,2547
08/04/2020,1324
09/04/2020,3622
10/04/2020,2458
11/04/2020,2592
12/04/2020,2434
13/04/2020,6642
14/04/2020,2141
15/04/2020,4522
16/04/2020,2076
17/04/2020,1680
18/04/2020,2460
19/04/2020,4055
20/04/2020,3695
21/04/2020,2850
22/04/2020,3913
23/04/2020,2634
24/04/2020,4033
25/04/2020,5336
26/04/2020,498
