date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,0,0,0,0,0,0
23/03/2020,0,0,0,0,0,0
24/03/2020,0,0,0,0,0,0
25/03/2020,0,0,0,0,0,0
26/03/2020,0,0,0,0,0,0
27/03/2020,0,0,0,0,0,0
28/03/2020,0,0,0,0,0,0
29/03/2020,0,0,0,0,0,0
30/03/2020,0,0,0,0,0,0
31/03/2020,0,0,0,0,0,0
01/04/2020,0,0,0,0,0,0
02/04/2020,0,0,0,0,0,0
03/04/2020,0,0,0,0,0,0
04/04/2020,0,0,0,0,0,0
05/04/2020,0,0,0,0,0,0
06/04/2020,0,0,0,0,0,0
07/04/2020,0,0,0,0,0,0
08/04/2020,0,0,0,0,0,0
09/04/2020,0,0,0,0,0,0
10/04/2020,0,0,0,0,0,0
11/04/2020,0,0,0,0,0,0
12/04/2020,0,0,0,0,0,0
13/04/2020,0,0,0,0,0,0
14/04/2020,0,0,0,0,0,0
15/04/2020,0,0,0,0,0,0
16/04/2020,0,0,0,0,0,0
17/04/2020,1,1,1,1,0,0
18/04/2020,3,4,3,4,0,0
19/04/2020,0,4,0,4,0,0
20/04/2020,0,4,0,4,0,0
21/04/2020,2,6,2,6,0,0
22/04/2020,0,6,0,6,0,0
23/04/2020,6,12,5,11,1,1
24/04/2020,2,14,2,13,0,1
25/04/2020,23,37,20,33,2,3
26/04/2020,3,40,2,35,0,3
27/04/2020,0,40,0,35,0,3
28/04/2020,37,77,31,66,6,9
29/04/2020,27,104,26,92,1,10
30/04/2020,0,104,0,92,0,10
01/05/2020,1,105,0,92,1,11
02/05/2020,31,136,24,116,6,17
03/05/2020,46,182,44,160,1,18
04/05/2020,47,229,46,206,1,19
05/05/2020,1,230,0,206,1,20
06/05/2020,0,230,0,206,0,20
07/05/2020,188,418,183,389,5,25
08/05/2020,12,430,12,401,0,25
09/05/2020,3,433,1,402,2,27
10/05/2020,94,527,85,487,8,35
11/05/2020,191,718,184,671,7,42
12/05/2020,25,743,24,695,1,43
13/05/2020,128,871,125,820,1,44
14/05/2020,53,924,52,872,1,45
15/05/2020,79,1003,79,951,0,45
16/05/2020,1,1004,1,952,0,45
17/05/2020,3,1007,1,953,2,47
18/05/2020,176,1183,173,1126,3,50
19/05/2020,38,1221,36,1162,2,52
20/05/2020,91,1312,86,1248,4,56
21/05/2020,73,1385,73,1321,0,56
22/05/2020,1,1386,0,1321,1,57
23/05/2020,2,1388,1,1322,1,58
24/05/2020,62,1450,46,1368,3,61
25/05/2020,55,1505,50,1418,4,65
26/05/2020,29,1534,25,1443,0,65
27/05/2020,189,1723,180,1623,1,66
28/05/2020,39,1762,37,1660,1,67
29/05/2020,38,1800,32,1692,1,68
30/05/2020,34,1834,32,1724,2,70
31/05/2020,16,1850,14,1738,1,71
01/06/2020,0,1850,0,1738,0,71
02/06/2020,4,1854,4,1742,0,71
03/06/2020,46,1900,42,1784,2,73
04/06/2020,0,1900,0,1784,0,73
05/06/2020,54,1954,54,1838,0,73
06/06/2020,27,1981,26,1864,0,73
07/06/2020,12,1993,8,1872,1,74
08/06/2020,37,2030,16,1888,2,76
09/06/2020,4,2034,4,1892,0,76
10/06/2020,33,2067,21,1913,2,78
11/06/2020,9,2076,8,1921,1,79
12/06/2020,16,2092,16,1937,0,79
13/06/2020,20,2112,11,1948,1,80
14/06/2020,15,2127,6,1954,0,80
15/06/2020,5,2132,1,1955,0,80
16/06/2020,40,2172,19,1974,0,80
17/06/2020,8,2180,3,1977,1,81
18/06/2020,5,2185,0,1977,0,81
19/06/2020,8,2193,3,1980,5,86
20/06/2020,0,2193,0,1980,0,86
21/06/2020,12,2205,3,1983,0,86
22/06/2020,0,2205,0,1983,0,86
23/06/2020,7,2212,0,1983,1,87
24/06/2020,9,2221,5,1988,0,87
25/06/2020,8,2229,0,1988,0,87
26/06/2020,13,2242,1,1989,2,89
27/06/2020,11,2253,2,1991,0,89
28/06/2020,7,2260,2,1993,0,89
29/06/2020,17,2277,4,1997,0,89
30/06/2020,23,2300,4,2001,0,89
01/07/2020,19,2319,0,2001,0,89
02/07/2020,6,2325,0,2001,0,89
03/07/2020,3,2328,0,2001,0,89
04/07/2020,7,2335,0,2001,0,89
05/07/2020,0,2335,0,2001,0,89
