date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,1,1,1,1,0,0
10/03/2020,0,1,0,1,0,0
11/03/2020,3,4,3,4,0,0
12/03/2020,0,4,0,4,0,0
13/03/2020,0,4,0,4,0,0
14/03/2020,3,7,3,7,0,0
15/03/2020,1,8,1,8,0,0
16/03/2020,0,8,0,8,0,0
17/03/2020,0,8,0,8,0,0
18/03/2020,0,8,0,8,0,0
19/03/2020,3,11,3,11,0,0
20/03/2020,11,22,11,22,0,0
21/03/2020,3,25,3,25,0,0
22/03/2020,5,30,5,30,0,0
23/03/2020,22,52,22,52,0,0
24/03/2020,0,52,0,52,0,0
25/03/2020,8,60,8,60,0,0
26/03/2020,0,60,0,60,0,0
27/03/2020,0,60,0,60,0,0
28/03/2020,7,67,7,67,0,0
29/03/2020,19,86,18,85,1,1
30/03/2020,10,96,10,95,0,1
31/03/2020,5,101,5,100,0,1
01/04/2020,6,107,6,106,0,1
02/04/2020,20,127,20,126,0,1
03/04/2020,18,145,18,144,0,1
04/04/2020,5,150,5,149,0,1
05/04/2020,22,172,22,171,0,1
06/04/2020,11,183,10,181,1,2
07/04/2020,15,198,15,196,0,2
08/04/2020,37,235,37,233,0,2
09/04/2020,4,239,4,237,0,2
10/04/2020,7,246,7,244,0,2
11/04/2020,6,252,6,250,0,2
12/04/2020,8,260,8,258,0,2
13/04/2020,13,273,13,271,0,2
14/04/2020,17,290,17,288,0,2
15/04/2020,12,302,12,300,0,2
16/04/2020,7,309,6,306,1,3
17/04/2020,16,325,15,321,1,4
18/04/2020,9,334,9,330,0,4
19/04/2020,18,352,16,346,2,6
20/04/2020,11,363,11,357,0,6
21/04/2020,3,366,3,360,0,6
22/04/2020,12,378,12,372,0,6
23/04/2020,23,401,23,395,0,6
24/04/2020,6,407,6,401,0,6
25/04/2020,2,409,2,403,0,6
26/04/2020,3,412,3,406,0,6
27/04/2020,8,420,8,414,0,6
28/04/2020,3,423,3,417,0,6
29/04/2020,5,428,5,422,0,6
30/04/2020,4,432,4,426,0,6
01/05/2020,3,435,3,429,0,6
02/05/2020,1,436,1,430,0,6
03/05/2020,7,443,7,437,0,6
04/05/2020,5,448,5,442,0,6
05/05/2020,3,451,3,445,0,6
06/05/2020,5,456,5,450,0,6
07/05/2020,4,460,4,454,0,6
08/05/2020,4,464,4,458,0,6
09/05/2020,2,466,2,460,0,6
10/05/2020,2,468,2,462,0,6
11/05/2020,6,474,6,468,0,6
12/05/2020,7,481,6,474,0,6
13/05/2020,10,491,10,484,0,6
14/05/2020,10,501,10,494,0,6
15/05/2020,8,509,7,501,1,7
16/05/2020,9,518,7,508,1,8
17/05/2020,16,534,16,524,0,8
18/05/2020,9,543,9,533,0,8
19/05/2020,18,561,18,551,0,8
20/05/2020,12,573,12,563,0,8
21/05/2020,14,587,13,576,0,8
22/05/2020,29,616,29,605,0,8
23/05/2020,61,677,61,666,0,8
24/05/2020,43,720,43,709,0,8
25/05/2020,141,861,141,850,0,8
26/05/2020,71,932,71,921,0,8
27/05/2020,25,957,24,945,0,8
28/05/2020,48,1005,46,991,1,9
29/05/2020,19,1024,19,1010,0,9
30/05/2020,35,1059,35,1045,0,9
31/05/2020,44,1103,43,1088,0,9
01/06/2020,68,1171,68,1156,0,9
02/06/2020,29,1200,29,1185,0,9
03/06/2020,60,1260,59,1244,0,9
04/06/2020,68,1328,68,1312,0,9
05/06/2020,32,1360,28,1340,1,10
06/06/2020,91,1451,89,1429,0,10
07/06/2020,67,1518,58,1487,2,12
08/06/2020,55,1573,41,1528,0,12
09/06/2020,74,1647,49,1577,0,12
10/06/2020,56,1703,34,1611,0,12
11/06/2020,27,1730,22,1633,0,12
12/06/2020,50,1780,33,1666,1,13
13/06/2020,102,1882,59,1725,1,14
14/06/2020,137,2019,69,1794,0,14
15/06/2020,127,2146,64,1858,2,16
16/06/2020,124,2270,78,1936,0,16
17/06/2020,96,2366,49,1985,0,16
18/06/2020,128,2494,46,2031,2,18
19/06/2020,159,2653,61,2092,1,19
20/06/2020,98,2751,26,2118,3,22
21/06/2020,171,2922,46,2164,1,23
22/06/2020,87,3009,22,2186,0,23
23/06/2020,90,3099,13,2199,0,23
24/06/2020,142,3241,27,2226,5,28
25/06/2020,222,3463,15,2241,3,31
26/06/2020,190,3653,12,2253,3,34
27/06/2020,208,3861,3,2256,0,34
28/06/2020,216,4077,4,2260,1,35
29/06/2020,143,4220,1,2261,1,36
30/06/2020,210,4430,1,2262,2,38
01/07/2020,229,4659,13,2275,4,42
02/07/2020,321,4980,4,2279,5,47
03/07/2020,283,5263,4,2283,1,48
04/07/2020,412,5675,2,2285,3,51
05/07/2020,314,5989,5,2290,2,53
06/07/2020,396,6385,0,2290,0,53
07/07/2020,0,6385,0,2290,0,53
08/07/2020,0,6385,0,2290,0,53
