date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,2,2,2,2,0,0
18/03/2020,0,2,0,2,0,0
19/03/2020,1,3,1,3,0,0
20/03/2020,0,3,0,3,0,0
21/03/2020,0,3,0,3,0,0
22/03/2020,2,5,2,5,0,0
23/03/2020,1,6,1,6,0,0
24/03/2020,1,7,1,7,0,0
25/03/2020,4,11,4,11,0,0
26/03/2020,0,11,0,11,0,0
27/03/2020,2,13,2,13,0,0
28/03/2020,0,13,0,13,0,0
29/03/2020,0,13,0,13,0,0
30/03/2020,0,13,0,13,0,0
31/03/2020,0,13,0,13,0,0
01/04/2020,2,15,2,15,0,0
02/04/2020,0,15,0,15,0,0
03/04/2020,0,15,0,15,0,0
04/04/2020,0,15,0,15,0,0
05/04/2020,0,15,0,15,0,0
06/04/2020,0,15,0,15,0,0
07/04/2020,0,15,0,15,0,0
08/04/2020,10,25,10,25,0,0
09/04/2020,1,26,1,26,0,0
10/04/2020,3,29,3,29,0,0
11/04/2020,3,32,2,31,1,1
12/04/2020,0,32,0,31,0,1
13/04/2020,1,33,1,32,0,1
14/04/2020,0,33,0,32,0,1
15/04/2020,0,33,0,32,0,1
16/04/2020,0,33,0,32,0,1
17/04/2020,2,35,2,34,0,1
18/04/2020,2,37,2,36,0,1
19/04/2020,0,37,0,36,0,1
20/04/2020,2,39,1,37,0,1
21/04/2020,0,39,0,37,0,1
22/04/2020,0,39,0,37,0,1
23/04/2020,0,39,0,37,0,1
24/04/2020,0,39,0,37,0,1
25/04/2020,0,39,0,37,0,1
26/04/2020,1,40,1,38,0,1
27/04/2020,2,42,2,40,0,1
28/04/2020,1,43,1,41,0,1
29/04/2020,0,43,0,41,0,1
30/04/2020,0,43,0,41,0,1
01/05/2020,1,44,1,42,0,1
02/05/2020,0,44,0,42,0,1
03/05/2020,0,44,0,42,0,1
04/05/2020,0,44,0,42,0,1
05/05/2020,1,45,1,43,0,1
06/05/2020,0,45,0,43,0,1
07/05/2020,1,46,1,44,0,1
08/05/2020,1,47,1,45,0,1
09/05/2020,0,47,0,45,0,1
10/05/2020,0,47,0,45,0,1
11/05/2020,1,48,1,46,0,1
12/05/2020,0,48,0,46,0,1
13/05/2020,5,53,5,51,0,1
14/05/2020,0,53,0,51,0,1
15/05/2020,0,53,0,51,0,1
16/05/2020,1,54,1,52,0,1
17/05/2020,0,54,0,52,0,1
18/05/2020,2,56,2,54,0,1
19/05/2020,0,56,0,54,0,1
20/05/2020,0,56,0,54,0,1
21/05/2020,0,56,0,54,0,1
22/05/2020,2,58,2,56,0,1
23/05/2020,1,59,1,57,0,1
24/05/2020,0,59,0,57,0,1
25/05/2020,2,61,2,59,0,1
26/05/2020,0,61,0,59,0,1
27/05/2020,7,68,7,66,0,1
28/05/2020,0,68,0,66,0,1
29/05/2020,0,68,0,66,0,1
30/05/2020,0,68,0,66,0,1
31/05/2020,3,71,3,69,0,1
01/06/2020,1,72,1,70,0,1
02/06/2020,1,73,1,71,0,1
03/06/2020,5,78,5,76,0,1
04/06/2020,0,78,0,76,0,1
05/06/2020,0,78,0,76,0,1
06/06/2020,0,78,0,76,0,1
07/06/2020,0,78,0,76,0,1
08/06/2020,0,78,0,76,0,1
09/06/2020,1,79,1,77,0,1
10/06/2020,0,79,0,77,0,1
11/06/2020,0,79,0,77,0,1
12/06/2020,1,80,1,78,0,1
13/06/2020,0,80,0,78,0,1
14/06/2020,1,81,0,78,0,1
15/06/2020,1,82,1,79,0,1
16/06/2020,1,83,1,80,0,1
17/06/2020,2,85,1,81,0,1
18/06/2020,8,93,5,86,0,1
19/06/2020,1,94,0,86,0,1
20/06/2020,1,95,0,86,0,1
21/06/2020,1,96,0,86,0,1
22/06/2020,3,99,1,87,0,1
23/06/2020,1,100,0,87,0,1
24/06/2020,1,101,0,87,0,1
25/06/2020,4,105,0,87,0,1
26/06/2020,1,106,0,87,0,1
27/06/2020,0,106,0,87,0,1
28/06/2020,0,106,0,87,0,1
29/06/2020,1,107,0,87,0,1
30/06/2020,4,111,0,87,0,1
01/07/2020,0,111,0,87,0,1
02/07/2020,0,111,0,87,0,1
03/07/2020,0,111,0,87,0,1
04/07/2020,6,117,0,87,0,1
05/07/2020,0,117,0,87,0,1
06/07/2020,0,117,0,87,0,1
07/07/2020,0,117,0,87,0,1
08/07/2020,0,117,0,87,0,1
09/07/2020,0,117,0,87,0,1
