date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,1,1,1,1,0,0
07/03/2020,0,1,0,1,0,0
08/03/2020,0,1,0,1,0,0
09/03/2020,0,1,0,1,0,0
10/03/2020,0,1,0,1,0,0
11/03/2020,2,3,2,3,0,0
12/03/2020,2,5,2,5,0,0
13/03/2020,1,6,1,6,0,0
14/03/2020,10,16,10,16,0,0
15/03/2020,10,26,9,25,0,0
16/03/2020,6,32,6,31,0,0
17/03/2020,7,39,7,38,0,0
18/03/2020,5,44,5,43,0,0
19/03/2020,8,52,5,48,0,0
20/03/2020,27,79,25,73,2,2
21/03/2020,5,84,5,78,0,2
22/03/2020,4,88,3,81,1,3
23/03/2020,29,117,26,107,2,5
24/03/2020,41,158,40,147,1,6
25/03/2020,14,172,13,160,0,6
26/03/2020,7,179,6,166,1,7
27/03/2020,38,217,35,201,2,9
28/03/2020,38,255,35,236,3,12
29/03/2020,33,288,25,261,0,12
30/03/2020,55,343,50,311,3,15
31/03/2020,40,383,37,348,3,18
01/04/2020,81,464,70,418,10,28
02/04/2020,68,532,60,478,4,32
03/04/2020,44,576,31,509,4,36
04/04/2020,104,680,87,596,8,44
05/04/2020,30,710,23,619,5,49
06/04/2020,51,761,20,639,3,52
07/04/2020,84,845,36,675,4,56
08/04/2020,131,976,59,734,7,63
09/04/2020,36,1012,12,746,3,66
10/04/2020,88,1100,26,772,2,68
11/04/2020,43,1143,19,791,2,70
12/04/2020,19,1162,5,796,2,72
13/04/2020,24,1186,6,802,1,73
14/04/2020,36,1222,6,808,3,76
15/04/2020,48,1270,12,820,6,82
16/04/2020,43,1313,11,831,1,83
17/04/2020,59,1372,9,840,0,83
18/04/2020,86,1458,14,854,2,85
19/04/2020,119,1577,23,877,0,85
20/04/2020,80,1657,8,885,2,87
21/04/2020,74,1731,18,903,1,88
22/04/2020,84,1815,14,917,0,88
23/04/2020,47,1862,13,930,5,93
24/04/2020,182,2044,31,961,5,98
25/04/2020,89,2133,8,969,3,101
26/04/2020,91,2224,2,971,1,102
27/04/2020,107,2331,1,972,2,104
28/04/2020,64,2395,1,973,3,107
29/04/2020,134,2529,0,973,4,111
30/04/2020,89,2618,0,973,4,115
01/05/2020,148,2766,0,973,4,119
02/05/2020,71,2837,0,973,1,120
03/05/2020,113,2950,0,973,2,122
04/05/2020,127,3077,0,973,1,123
05/05/2020,193,3270,0,973,6,129
06/05/2020,199,3469,0,973,2,131
07/05/2020,130,3599,0,973,1,132
08/05/2020,225,3824,0,973,4,136
