date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,1,1,1,1,0,0
16/03/2020,0,1,0,1,0,0
17/03/2020,0,1,0,1,0,0
18/03/2020,0,1,0,1,0,0
19/03/2020,1,2,1,2,0,0
20/03/2020,0,2,0,2,0,0
21/03/2020,0,2,0,2,0,0
22/03/2020,0,2,0,2,0,0
23/03/2020,1,3,1,3,0,0
24/03/2020,0,3,0,3,0,0
25/03/2020,0,3,0,3,0,0
26/03/2020,0,3,0,3,0,0
27/03/2020,0,3,0,3,0,0
28/03/2020,0,3,0,3,0,0
29/03/2020,3,6,3,6,0,0
30/03/2020,0,6,0,6,0,0
31/03/2020,2,8,2,8,0,0
01/04/2020,0,8,0,8,0,0
02/04/2020,0,8,0,8,0,0
03/04/2020,0,8,0,8,0,0
04/04/2020,0,8,0,8,0,0
05/04/2020,0,8,0,8,0,0
06/04/2020,0,8,0,8,0,0
07/04/2020,0,8,0,8,0,0
08/04/2020,0,8,0,8,0,0
09/04/2020,3,11,3,11,0,0
10/04/2020,0,11,0,11,0,0
11/04/2020,2,13,2,13,0,0
12/04/2020,1,14,1,14,0,0
13/04/2020,0,14,0,14,0,0
14/04/2020,0,14,0,14,0,0
15/04/2020,0,14,0,14,0,0
16/04/2020,2,16,2,16,0,0
17/04/2020,0,16,0,16,0,0
18/04/2020,0,16,0,16,0,0
19/04/2020,0,16,0,16,0,0
20/04/2020,0,16,0,16,0,0
21/04/2020,1,17,1,17,0,0
22/04/2020,2,19,1,18,1,1
23/04/2020,0,19,0,18,0,1
24/04/2020,0,19,0,18,0,1
25/04/2020,0,19,0,18,0,1
26/04/2020,1,20,1,19,0,1
27/04/2020,0,20,0,19,0,1
28/04/2020,0,20,0,19,0,1
29/04/2020,0,20,0,19,0,1
30/04/2020,0,20,0,19,0,1
01/05/2020,0,20,0,19,0,1
02/05/2020,0,20,0,19,0,1
03/05/2020,0,20,0,19,0,1
04/05/2020,0,20,0,19,0,1
05/05/2020,0,20,0,19,0,1
06/05/2020,0,20,0,19,0,1
07/05/2020,0,20,0,19,0,1
08/05/2020,0,20,0,19,0,1
09/05/2020,0,20,0,19,0,1
10/05/2020,0,20,0,19,0,1
11/05/2020,0,20,0,19,0,1
12/05/2020,0,20,0,19,0,1
13/05/2020,0,20,0,19,0,1
14/05/2020,0,20,0,19,0,1
15/05/2020,0,20,0,19,0,1
16/05/2020,0,20,0,19,0,1
17/05/2020,0,20,0,19,0,1
18/05/2020,0,20,0,19,0,1
19/05/2020,0,20,0,19,0,1
20/05/2020,0,20,0,19,0,1
21/05/2020,1,21,1,20,0,1
22/05/2020,0,21,0,20,0,1
23/05/2020,1,22,1,21,0,1
24/05/2020,0,22,0,21,0,1
25/05/2020,0,22,0,21,0,1
26/05/2020,0,22,0,21,0,1
27/05/2020,0,22,0,21,0,1
28/05/2020,0,22,0,21,0,1
29/05/2020,0,22,0,21,0,1
30/05/2020,0,22,0,21,0,1
31/05/2020,3,25,2,23,0,1
01/06/2020,0,25,0,23,0,1
02/06/2020,1,26,1,24,0,1
03/06/2020,5,31,5,29,0,1
04/06/2020,1,32,1,30,0,1
05/06/2020,0,32,0,30,0,1
06/06/2020,6,38,6,36,0,1
07/06/2020,4,42,4,40,0,1
08/06/2020,2,44,2,42,0,1
09/06/2020,1,45,1,43,0,1
10/06/2020,5,50,5,48,0,1
11/06/2020,0,50,0,48,0,1
12/06/2020,0,50,0,48,0,1
13/06/2020,1,51,1,49,0,1
14/06/2020,3,54,2,51,0,1
15/06/2020,5,59,4,55,1,2
16/06/2020,3,62,3,58,0,2
17/06/2020,9,71,5,63,1,3
18/06/2020,16,87,14,77,0,3
19/06/2020,7,94,7,84,0,3
20/06/2020,6,100,6,90,0,3
21/06/2020,13,113,4,94,0,3
22/06/2020,4,117,3,97,1,4
23/06/2020,6,123,2,99,0,4
24/06/2020,6,129,1,100,0,4
25/06/2020,12,141,5,105,0,4
26/06/2020,10,151,0,105,0,4
27/06/2020,16,167,2,107,1,5
28/06/2020,2,169,0,107,0,5
29/06/2020,3,172,0,107,0,5
30/06/2020,5,177,0,107,0,5
01/07/2020,18,195,0,107,0,5
02/07/2020,12,207,0,107,0,5
03/07/2020,16,223,0,107,1,6
04/07/2020,8,231,0,107,1,7
05/07/2020,17,248,0,107,0,7
06/07/2020,5,253,0,107,0,7
07/07/2020,6,259,0,107,0,7
08/07/2020,14,273,0,107,1,8
09/07/2020,15,288,0,107,0,8
10/07/2020,31,319,0,107,0,8
11/07/2020,1,320,0,107,0,8
12/07/2020,30,350,0,107,0,8
13/07/2020,0,350,0,107,0,8
14/07/2020,0,350,0,107,0,8
