date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,0,0,0,0,0,0
23/03/2020,0,0,0,0,0,0
24/03/2020,0,0,0,0,0,0
25/03/2020,0,0,0,0,0,0
26/03/2020,0,0,0,0,0,0
27/03/2020,0,0,0,0,0,0
28/03/2020,0,0,0,0,0,0
29/03/2020,0,0,0,0,0,0
30/03/2020,0,0,0,0,0,0
31/03/2020,0,0,0,0,0,0
01/04/2020,0,0,0,0,0,0
02/04/2020,0,0,0,0,0,0
03/04/2020,0,0,0,0,0,0
04/04/2020,0,0,0,0,0,0
05/04/2020,1,1,1,1,0,0
06/04/2020,1,2,1,2,0,0
07/04/2020,0,2,0,2,0,0
08/04/2020,1,3,0,2,0,0
09/04/2020,1,4,1,3,0,0
10/04/2020,0,4,0,3,0,0
11/04/2020,2,6,2,5,0,0
12/04/2020,1,7,1,6,0,0
13/04/2020,0,7,0,6,0,0
14/04/2020,2,9,2,8,0,0
15/04/2020,1,10,1,9,0,0
16/04/2020,2,12,1,10,1,1
17/04/2020,2,14,2,12,0,1
18/04/2020,3,17,2,14,1,2
19/04/2020,0,17,0,14,0,2
20/04/2020,1,18,1,15,0,2
21/04/2020,2,20,2,17,0,2
22/04/2020,0,20,0,17,0,2
23/04/2020,0,20,0,17,0,2
24/04/2020,2,22,2,19,0,2
25/04/2020,0,22,0,19,0,2
26/04/2020,2,24,2,21,0,2
27/04/2020,0,24,0,21,0,2
28/04/2020,1,25,1,22,0,2
29/04/2020,2,27,1,23,0,2
30/04/2020,2,29,1,24,1,3
01/05/2020,5,34,5,29,0,3
02/05/2020,1,35,1,30,0,3
03/05/2020,0,35,0,30,0,3
04/05/2020,3,38,3,33,0,3
05/05/2020,8,46,7,40,0,3
06/05/2020,1,47,1,41,0,3
07/05/2020,3,50,1,42,1,4
08/05/2020,1,51,1,43,0,4
09/05/2020,4,55,2,45,1,5
10/05/2020,1,56,1,46,0,5
11/05/2020,5,61,3,49,1,6
12/05/2020,17,78,14,63,2,8
13/05/2020,6,84,2,65,1,9
14/05/2020,6,90,1,66,1,10
15/05/2020,2,92,0,66,0,10
16/05/2020,9,101,2,68,2,12
17/05/2020,1,102,0,68,0,12
18/05/2020,23,125,2,70,2,14
19/05/2020,5,130,1,71,0,14
20/05/2020,14,144,0,71,4,18
21/05/2020,10,154,1,72,0,18
22/05/2020,47,201,5,77,4,22
23/05/2020,15,216,1,78,0,22
24/05/2020,15,231,1,79,2,24
25/05/2020,16,247,0,79,2,26
26/05/2020,35,282,0,79,3,29
27/05/2020,36,318,0,79,0,29
28/05/2020,17,335,0,79,2,31
29/05/2020,13,348,0,79,0,31
30/05/2020,124,472,1,80,3,34
31/05/2020,23,495,0,80,5,39
01/06/2020,23,518,0,80,0,39
02/06/2020,26,544,0,80,0,39
03/06/2020,30,574,0,80,0,39
04/06/2020,21,595,0,80,1,40
05/06/2020,84,679,0,80,0,40
