date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,0,0,0,0,0,0
23/03/2020,0,0,0,0,0,0
24/03/2020,0,0,0,0,0,0
25/03/2020,0,0,0,0,0,0
26/03/2020,0,0,0,0,0,0
27/03/2020,0,0,0,0,0,0
28/03/2020,0,0,0,0,0,0
29/03/2020,0,0,0,0,0,0
30/03/2020,0,0,0,0,0,0
31/03/2020,0,0,0,0,0,0
01/04/2020,0,0,0,0,0,0
02/04/2020,0,0,0,0,0,0
03/04/2020,0,0,0,0,0,0
04/04/2020,0,0,0,0,0,0
05/04/2020,0,0,0,0,0,0
06/04/2020,0,0,0,0,0,0
07/04/2020,0,0,0,0,0,0
08/04/2020,0,0,0,0,0,0
09/04/2020,0,0,0,0,0,0
10/04/2020,0,0,0,0,0,0
11/04/2020,2,2,2,2,0,0
12/04/2020,0,2,0,2,0,0
13/04/2020,0,2,0,2,0,0
14/04/2020,0,2,0,2,0,0
15/04/2020,1,3,1,3,0,0
16/04/2020,0,3,0,3,0,0
17/04/2020,0,3,0,3,0,0
18/04/2020,0,3,0,3,0,0
19/04/2020,0,3,0,3,0,0
20/04/2020,0,3,0,3,0,0
21/04/2020,0,3,0,3,0,0
22/04/2020,0,3,0,3,0,0
23/04/2020,0,3,0,3,0,0
24/04/2020,0,3,0,3,0,0
25/04/2020,0,3,0,3,0,0
26/04/2020,0,3,0,3,0,0
27/04/2020,0,3,0,3,0,0
28/04/2020,0,3,0,3,0,0
29/04/2020,0,3,0,3,0,0
30/04/2020,0,3,0,3,0,0
01/05/2020,0,3,0,3,0,0
02/05/2020,0,3,0,3,0,0
03/05/2020,0,3,0,3,0,0
04/05/2020,0,3,0,3,0,0
05/05/2020,1,4,1,4,0,0
06/05/2020,0,4,0,4,0,0
07/05/2020,2,6,2,6,0,0
08/05/2020,0,6,0,6,0,0
09/05/2020,0,6,0,6,0,0
10/05/2020,0,6,0,6,0,0
11/05/2020,0,6,0,6,0,0
12/05/2020,0,6,0,6,0,0
13/05/2020,0,6,0,6,0,0
14/05/2020,1,7,1,7,0,0
15/05/2020,0,7,0,7,0,0
16/05/2020,0,7,0,7,0,0
17/05/2020,1,8,1,8,0,0
18/05/2020,1,9,1,9,0,0
19/05/2020,1,10,1,10,0,0
20/05/2020,1,11,1,11,0,0
21/05/2020,0,11,0,11,0,0
22/05/2020,2,13,2,13,0,0
23/05/2020,1,14,1,14,0,0
24/05/2020,1,15,1,15,0,0
25/05/2020,2,17,2,17,0,0
26/05/2020,1,18,1,18,0,0
27/05/2020,1,19,1,19,0,0
28/05/2020,6,25,4,23,2,2
29/05/2020,1,26,1,24,0,2
30/05/2020,1,27,1,25,0,2
31/05/2020,3,30,3,28,0,2
01/06/2020,0,30,0,28,0,2
02/06/2020,3,33,2,30,1,3
03/06/2020,1,34,1,31,0,3
04/06/2020,1,35,1,32,0,3
05/06/2020,3,38,2,34,0,3
06/06/2020,0,38,0,34,0,3
07/06/2020,1,39,1,35,0,3
08/06/2020,11,50,5,40,0,3
09/06/2020,2,52,2,42,0,3
10/06/2020,7,59,6,48,1,4
11/06/2020,1,60,0,48,0,4
12/06/2020,2,62,1,49,0,4
13/06/2020,2,64,1,50,0,4
14/06/2020,1,65,1,51,0,4
15/06/2020,2,67,1,52,0,4
16/06/2020,2,69,1,53,0,4
17/06/2020,3,72,0,53,0,4
18/06/2020,3,75,0,53,0,4
19/06/2020,4,79,1,54,0,4
20/06/2020,7,86,0,54,0,4
21/06/2020,5,91,0,54,0,4
22/06/2020,1,92,0,54,0,4
23/06/2020,7,99,0,54,1,5
24/06/2020,9,108,0,54,0,5
25/06/2020,20,128,0,54,0,5
26/06/2020,5,133,0,54,0,5
27/06/2020,6,139,0,54,0,5
28/06/2020,1,140,0,54,0,5
29/06/2020,1,141,0,54,0,5
30/06/2020,12,153,0,54,0,5
01/07/2020,6,159,0,54,0,5
02/07/2020,6,165,0,54,0,5
03/07/2020,16,181,0,54,0,5
04/07/2020,0,181,0,54,0,5
