date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,1,1,1,1,0,0
23/03/2020,0,1,0,1,0,0
24/03/2020,1,2,1,2,0,0
25/03/2020,0,2,0,2,0,0
26/03/2020,0,2,0,2,0,0
27/03/2020,0,2,0,2,0,0
28/03/2020,1,3,1,3,0,0
29/03/2020,1,4,1,4,0,0
30/03/2020,0,4,0,4,0,0
31/03/2020,7,11,7,11,0,0
01/04/2020,5,16,4,15,1,1
02/04/2020,0,16,0,15,0,1
03/04/2020,0,16,0,15,0,1
04/04/2020,0,16,0,15,0,1
05/04/2020,0,16,0,15,0,1
06/04/2020,0,16,0,15,0,1
07/04/2020,0,16,0,15,0,1
08/04/2020,1,17,1,16,0,1
09/04/2020,1,18,1,17,0,1
10/04/2020,2,20,2,19,0,1
11/04/2020,12,32,12,31,0,1
12/04/2020,0,32,0,31,0,1
13/04/2020,0,32,0,31,0,1
14/04/2020,0,32,0,31,0,1
15/04/2020,0,32,0,31,0,1
16/04/2020,1,33,0,31,1,2
17/04/2020,0,33,0,31,0,2
18/04/2020,0,33,0,31,0,2
19/04/2020,0,33,0,31,0,2
20/04/2020,2,35,1,32,1,3
21/04/2020,0,35,0,32,0,3
22/04/2020,0,35,0,32,0,3
23/04/2020,0,35,0,32,0,3
24/04/2020,7,42,5,37,2,5
25/04/2020,11,53,7,44,4,9
26/04/2020,0,53,0,44,0,9
27/04/2020,0,53,0,44,0,9
