date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,0,0,0,0,0,0
23/03/2020,0,0,0,0,0,0
24/03/2020,0,0,0,0,0,0
25/03/2020,0,0,0,0,0,0
26/03/2020,0,0,0,0,0,0
27/03/2020,0,0,0,0,0,0
28/03/2020,0,0,0,0,0,0
29/03/2020,0,0,0,0,0,0
30/03/2020,1,1,1,1,0,0
31/03/2020,0,1,0,1,0,0
01/04/2020,0,1,0,1,0,0
02/04/2020,0,1,0,1,0,0
03/04/2020,0,1,0,1,0,0
04/04/2020,0,1,0,1,0,0
05/04/2020,0,1,0,1,0,0
06/04/2020,0,1,0,1,0,0
07/04/2020,0,1,0,1,0,0
08/04/2020,0,1,0,1,0,0
09/04/2020,0,1,0,1,0,0
10/04/2020,3,4,3,4,0,0
11/04/2020,2,6,2,6,0,0
12/04/2020,0,6,0,6,0,0
13/04/2020,0,6,0,6,0,0
14/04/2020,0,6,0,6,0,0
15/04/2020,0,6,0,6,0,0
16/04/2020,8,14,8,14,0,0
17/04/2020,0,14,0,14,0,0
18/04/2020,0,14,0,14,0,0
19/04/2020,0,14,0,14,0,0
20/04/2020,2,16,2,16,0,0
21/04/2020,2,18,2,18,0,0
22/04/2020,2,20,1,19,0,0
23/04/2020,3,23,2,21,0,0
24/04/2020,0,23,0,21,0,0
25/04/2020,1,24,0,21,0,0
26/04/2020,0,24,0,21,0,0
27/04/2020,0,24,0,21,0,0
28/04/2020,0,24,0,21,0,0
29/04/2020,4,28,2,23,0,0
30/04/2020,13,41,6,29,2,2
01/05/2020,6,47,4,33,0,2
02/05/2020,2,49,1,34,0,2
03/05/2020,0,49,0,34,0,2
04/05/2020,2,51,2,36,0,2
05/05/2020,1,52,1,37,0,2
06/05/2020,0,52,0,37,0,2
07/05/2020,0,52,0,37,0,2
08/05/2020,3,55,0,37,0,2
09/05/2020,0,55,0,37,0,2
10/05/2020,1,56,0,37,0,2
11/05/2020,5,61,0,37,0,2
12/05/2020,2,63,0,37,0,2
13/05/2020,0,63,0,37,0,2
14/05/2020,1,64,0,37,0,2
15/05/2020,6,70,0,37,0,2
16/05/2020,0,70,0,37,0,2
17/05/2020,2,72,0,37,0,2
18/05/2020,2,74,0,37,0,2
19/05/2020,0,74,0,37,0,2
