date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,1,1,1,1,0,0
15/03/2020,0,1,0,1,0,0
16/03/2020,0,1,0,1,0,0
17/03/2020,0,1,0,1,0,0
18/03/2020,1,2,1,2,0,0
19/03/2020,0,2,0,2,0,0
20/03/2020,0,2,0,2,0,0
21/03/2020,0,2,0,2,0,0
22/03/2020,3,5,3,5,0,0
23/03/2020,1,6,1,6,0,0
24/03/2020,0,6,0,6,0,0
25/03/2020,0,6,0,6,0,0
26/03/2020,0,6,0,6,0,0
27/03/2020,0,6,0,6,0,0
28/03/2020,0,6,0,6,0,0
29/03/2020,2,8,2,8,0,0
30/03/2020,0,8,0,8,0,0
31/03/2020,1,9,1,9,0,0
01/04/2020,0,9,0,9,0,0
02/04/2020,0,9,0,9,0,0
03/04/2020,0,9,0,9,0,0
04/04/2020,0,9,0,9,0,0
05/04/2020,0,9,0,9,0,0
06/04/2020,0,9,0,9,0,0
07/04/2020,0,9,0,9,0,0
08/04/2020,4,13,4,13,0,0
09/04/2020,2,15,2,15,0,0
10/04/2020,1,16,1,16,0,0
11/04/2020,3,19,3,19,0,0
12/04/2020,1,20,1,20,0,0
13/04/2020,0,20,0,20,0,0
14/04/2020,5,25,5,25,0,0
15/04/2020,0,25,0,25,0,0
16/04/2020,0,25,0,25,0,0
17/04/2020,10,35,10,35,0,0
18/04/2020,4,39,3,38,1,1
19/04/2020,1,40,1,39,0,1
20/04/2020,0,40,0,39,0,1
21/04/2020,3,43,3,42,0,1
22/04/2020,1,44,1,43,0,1
23/04/2020,1,45,1,44,0,1
24/04/2020,1,46,1,45,0,1
25/04/2020,7,53,7,52,0,1
26/04/2020,2,55,2,54,0,1
27/04/2020,0,55,0,54,0,1
28/04/2020,0,55,0,54,0,1
29/04/2020,2,57,2,56,0,1
30/04/2020,0,57,0,56,0,1
01/05/2020,2,59,2,58,0,1
02/05/2020,1,60,1,59,0,1
03/05/2020,3,63,3,62,0,1
04/05/2020,0,63,0,62,0,1
05/05/2020,0,63,0,62,0,1
06/05/2020,1,64,1,63,0,1
07/05/2020,0,64,0,63,0,1
08/05/2020,1,65,1,64,0,1
09/05/2020,0,65,0,64,0,1
10/05/2020,0,65,0,64,0,1
11/05/2020,0,65,0,64,0,1
12/05/2020,0,65,0,64,0,1
13/05/2020,0,65,0,64,0,1
14/05/2020,1,66,1,65,0,1
15/05/2020,0,66,0,65,0,1
16/05/2020,0,66,0,65,0,1
17/05/2020,2,68,2,67,0,1
18/05/2020,0,68,0,67,0,1
19/05/2020,0,68,0,67,0,1
20/05/2020,0,68,0,67,0,1
21/05/2020,0,68,0,67,0,1
22/05/2020,0,68,0,67,0,1
23/05/2020,0,68,0,67,0,1
24/05/2020,0,68,0,67,0,1
25/05/2020,0,68,0,67,0,1
26/05/2020,0,68,0,67,0,1
27/05/2020,0,68,0,67,0,1
28/05/2020,0,68,0,67,0,1
29/05/2020,1,69,0,67,1,2
30/05/2020,0,69,0,67,0,2
31/05/2020,0,69,0,67,0,2
01/06/2020,0,69,0,67,0,2
02/06/2020,0,69,0,67,0,2
03/06/2020,3,72,2,69,1,3
04/06/2020,2,74,2,71,0,3
05/06/2020,0,74,0,71,0,3
06/06/2020,2,76,2,73,0,3
07/06/2020,1,77,1,74,0,3
08/06/2020,0,77,0,74,0,3
09/06/2020,0,77,0,74,0,3
10/06/2020,3,80,2,76,0,3
11/06/2020,2,82,2,78,0,3
12/06/2020,1,83,1,79,0,3
13/06/2020,1,84,1,80,0,3
14/06/2020,1,85,1,81,0,3
15/06/2020,0,85,0,81,0,3
16/06/2020,0,85,0,81,0,3
17/06/2020,2,87,1,82,0,3
18/06/2020,11,98,2,84,0,3
19/06/2020,5,103,1,85,0,3
20/06/2020,5,108,2,87,0,3
21/06/2020,5,113,3,90,0,3
22/06/2020,1,114,0,90,0,3
23/06/2020,2,116,1,91,0,3
24/06/2020,7,123,2,93,0,3
25/06/2020,5,128,2,95,0,3
26/06/2020,12,140,5,100,0,3
27/06/2020,2,142,0,100,0,3
28/06/2020,3,145,1,101,0,3
29/06/2020,1,146,0,101,0,3
30/06/2020,0,146,0,101,0,3
01/07/2020,8,154,1,102,1,4
02/07/2020,5,159,0,102,0,4
03/07/2020,9,168,0,102,0,4
04/07/2020,3,171,0,102,0,4
05/07/2020,1,172,0,102,0,4
06/07/2020,2,174,0,102,0,4
07/07/2020,1,175,0,102,0,4
08/07/2020,5,180,0,102,0,4
09/07/2020,9,189,0,102,0,4
10/07/2020,2,191,0,102,0,4
11/07/2020,0,191,0,102,0,4
12/07/2020,0,191,0,102,0,4
