date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,0,0,0,0,0,0
23/03/2020,0,0,0,0,0,0
24/03/2020,0,0,0,0,0,0
25/03/2020,0,0,0,0,0,0
26/03/2020,0,0,0,0,0,0
27/03/2020,0,0,0,0,0,0
28/03/2020,0,0,0,0,0,0
29/03/2020,0,0,0,0,0,0
30/03/2020,0,0,0,0,0,0
31/03/2020,0,0,0,0,0,0
01/04/2020,0,0,0,0,0,0
02/04/2020,0,0,0,0,0,0
03/04/2020,0,0,0,0,0,0
04/04/2020,0,0,0,0,0,0
05/04/2020,0,0,0,0,0,0
06/04/2020,0,0,0,0,0,0
07/04/2020,0,0,0,0,0,0
08/04/2020,0,0,0,0,0,0
09/04/2020,0,0,0,0,0,0
10/04/2020,0,0,0,0,0,0
11/04/2020,0,0,0,0,0,0
12/04/2020,0,0,0,0,0,0
13/04/2020,0,0,0,0,0,0
14/04/2020,0,0,0,0,0,0
15/04/2020,0,0,0,0,0,0
16/04/2020,0,0,0,0,0,0
17/04/2020,0,0,0,0,0,0
18/04/2020,0,0,0,0,0,0
19/04/2020,0,0,0,0,0,0
20/04/2020,0,0,0,0,0,0
21/04/2020,0,0,0,0,0,0
22/04/2020,0,0,0,0,0,0
23/04/2020,0,0,0,0,0,0
24/04/2020,0,0,0,0,0,0
25/04/2020,0,0,0,0,0,0
26/04/2020,0,0,0,0,0,0
27/04/2020,0,0,0,0,0,0
28/04/2020,0,0,0,0,0,0
29/04/2020,0,0,0,0,0,0
30/04/2020,0,0,0,0,0,0
01/05/2020,0,0,0,0,0,0
02/05/2020,0,0,0,0,0,0
03/05/2020,0,0,0,0,0,0
04/05/2020,0,0,0,0,0,0
05/05/2020,0,0,0,0,0,0
06/05/2020,0,0,0,0,0,0
07/05/2020,0,0,0,0,0,0
08/05/2020,0,0,0,0,0,0
09/05/2020,0,0,0,0,0,0
10/05/2020,0,0,0,0,0,0
11/05/2020,0,0,0,0,0,0
12/05/2020,0,0,0,0,0,0
13/05/2020,0,0,0,0,0,0
14/05/2020,1,1,1,1,0,0
15/05/2020,1,2,0,1,1,1
16/05/2020,0,2,0,1,0,1
17/05/2020,1,3,1,2,0,1
18/05/2020,0,3,0,2,0,1
19/05/2020,0,3,0,2,0,1
20/05/2020,0,3,0,2,0,1
21/05/2020,1,4,1,3,0,1
22/05/2020,2,6,2,5,0,1
23/05/2020,2,8,2,7,0,1
24/05/2020,1,9,1,8,0,1
25/05/2020,2,11,2,10,0,1
26/05/2020,2,13,2,12,0,1
27/05/2020,5,18,5,17,0,1
28/05/2020,7,25,7,24,0,1
29/05/2020,1,26,1,25,0,1
30/05/2020,0,26,0,25,0,1
31/05/2020,2,28,2,27,0,1
01/06/2020,2,30,2,29,0,1
02/06/2020,3,33,3,32,0,1
03/06/2020,3,36,3,35,0,1
04/06/2020,2,38,2,37,0,1
05/06/2020,5,43,5,42,0,1
06/06/2020,4,47,4,46,0,1
07/06/2020,0,47,0,46,0,1
08/06/2020,8,55,8,54,0,1
09/06/2020,0,55,0,54,0,1
10/06/2020,1,56,1,55,0,1
11/06/2020,0,56,0,55,0,1
12/06/2020,2,58,2,57,0,1
13/06/2020,1,59,1,58,0,1
14/06/2020,0,59,0,58,0,1
15/06/2020,0,59,0,58,0,1
16/06/2020,0,59,0,58,0,1
17/06/2020,2,61,2,60,0,1
18/06/2020,1,62,1,61,0,1
19/06/2020,3,65,3,64,0,1
20/06/2020,2,67,2,66,0,1
21/06/2020,0,67,0,66,0,1
22/06/2020,0,67,0,66,0,1
23/06/2020,2,69,1,67,0,1
24/06/2020,0,69,0,67,0,1
25/06/2020,1,70,1,68,0,1
26/06/2020,3,73,3,71,0,1
27/06/2020,0,73,0,71,0,1
28/06/2020,0,73,0,71,0,1
29/06/2020,0,73,0,71,0,1
30/06/2020,3,76,3,74,0,1
01/07/2020,6,82,5,79,0,1
02/07/2020,0,82,0,79,0,1
03/07/2020,1,83,0,79,0,1
04/07/2020,1,84,0,79,0,1
05/07/2020,2,86,1,80,0,1
06/07/2020,1,87,1,81,0,1
07/07/2020,2,89,0,81,1,2
08/07/2020,2,91,2,83,0,2
09/07/2020,2,93,1,84,0,2
10/07/2020,3,96,0,84,1,3
11/07/2020,5,101,0,84,0,3
12/07/2020,0,101,0,84,0,3
13/07/2020,3,104,0,84,0,3
14/07/2020,2,106,0,84,0,3
15/07/2020,7,113,0,84,1,4
16/07/2020,1,114,0,84,0,4
17/07/2020,1,115,0,84,0,4
18/07/2020,6,121,0,84,0,4
19/07/2020,0,121,0,84,0,4
20/07/2020,0,121,0,84,0,4
