date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,3,3,0,0,0,0
13/03/2020,0,3,0,0,0,0
14/03/2020,4,7,0,0,0,0
15/03/2020,0,7,0,0,0,0
16/03/2020,0,7,0,0,0,0
17/03/2020,1,8,0,0,0,0
18/03/2020,0,8,0,0,0,0
19/03/2020,1,9,0,0,0,0
20/03/2020,0,9,0,0,0,0
21/03/2020,1,10,0,0,0,0
22/03/2020,0,10,0,0,0,0
23/03/2020,1,11,0,0,1,1
24/03/2020,3,14,0,0,0,1
25/03/2020,0,14,0,0,0,1
26/03/2020,0,14,0,0,0,1
27/03/2020,0,14,0,0,0,1
28/03/2020,0,14,0,0,0,1
29/03/2020,2,16,0,0,0,1
30/03/2020,5,21,0,0,1,2
31/03/2020,3,24,0,0,0,2
01/04/2020,6,30,0,0,0,2
02/04/2020,0,30,0,0,0,2
03/04/2020,2,32,0,0,0,2
04/04/2020,2,34,0,0,0,2
05/04/2020,0,34,0,0,0,2
06/04/2020,0,34,0,0,0,2
07/04/2020,0,34,0,0,0,2
08/04/2020,4,38,0,0,0,2
09/04/2020,1,39,0,0,0,2
10/04/2020,2,41,0,0,0,2
11/04/2020,11,52,0,0,2,4
12/04/2020,0,52,0,0,0,4
13/04/2020,3,55,0,0,0,4
14/04/2020,0,55,0,0,0,4
15/04/2020,0,55,0,0,0,4
16/04/2020,5,60,0,0,0,4
17/04/2020,2,62,0,0,0,4
18/04/2020,16,78,0,0,2,6
19/04/2020,0,78,0,0,0,6
20/04/2020,1,79,0,0,0,6
21/04/2020,2,81,0,0,0,6
22/04/2020,0,81,0,0,0,6
23/04/2020,0,81,0,0,0,6
24/04/2020,1,82,0,0,0,6
25/04/2020,2,84,0,0,0,6
26/04/2020,3,87,0,0,0,6
27/04/2020,5,92,0,0,0,6
28/04/2020,9,101,0,0,0,6
29/04/2020,3,104,0,0,0,6
30/04/2020,16,120,0,0,1,7
01/05/2020,13,133,0,0,0,7
02/05/2020,0,133,0,0,0,7
03/05/2020,0,133,0,0,0,7
04/05/2020,1,134,0,0,0,7
05/05/2020,3,137,0,0,0,7
06/05/2020,0,137,0,0,0,7
07/05/2020,10,147,0,0,0,7
08/05/2020,0,147,0,0,0,7
09/05/2020,0,147,0,0,0,7
10/05/2020,31,178,0,0,1,8
11/05/2020,1,179,0,0,0,8
12/05/2020,6,185,0,0,0,8
13/05/2020,1,186,0,0,0,8
14/05/2020,0,186,0,0,0,8
15/05/2020,20,206,0,0,0,8
16/05/2020,1,207,0,0,0,8
17/05/2020,2,209,0,0,0,8
18/05/2020,3,212,0,0,0,8
19/05/2020,0,212,0,0,0,8
20/05/2020,7,219,0,0,0,8
21/05/2020,8,227,0,0,1,9
22/05/2020,4,231,0,0,0,9
23/05/2020,2,233,0,0,0,9
24/05/2020,0,233,0,0,0,9
25/05/2020,4,237,0,0,0,9
26/05/2020,2,239,0,0,0,9
27/05/2020,5,244,0,0,0,9
28/05/2020,3,247,0,0,0,9
29/05/2020,0,247,0,0,0,9
30/05/2020,0,247,0,0,0,9
31/05/2020,2,249,0,0,0,9
01/06/2020,2,251,0,0,0,9
02/06/2020,0,251,0,0,0,9
03/06/2020,1,252,0,0,0,9
04/06/2020,0,252,0,0,0,9
05/06/2020,1,253,0,0,0,9
06/06/2020,0,253,0,0,0,9
07/06/2020,2,255,0,0,0,9
