date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,1,1,1,1,0,0
18/03/2020,1,2,1,2,0,0
19/03/2020,0,2,0,2,0,0
20/03/2020,0,2,0,2,0,0
21/03/2020,1,3,1,3,0,0
22/03/2020,1,4,1,4,0,0
23/03/2020,0,4,0,4,0,0
24/03/2020,4,8,4,8,0,0
25/03/2020,1,9,1,9,0,0
26/03/2020,0,9,0,9,0,0
27/03/2020,0,9,0,9,0,0
28/03/2020,0,9,0,9,0,0
29/03/2020,0,9,0,9,0,0
30/03/2020,0,9,0,9,0,0
31/03/2020,0,9,0,9,0,0
01/04/2020,5,14,5,14,0,0
02/04/2020,0,14,0,14,0,0
03/04/2020,1,15,1,15,0,0
04/04/2020,0,15,0,15,0,0
05/04/2020,0,15,0,15,0,0
06/04/2020,0,15,0,15,0,0
07/04/2020,0,15,0,15,0,0
08/04/2020,0,15,0,15,0,0
09/04/2020,0,15,0,15,0,0
10/04/2020,4,19,4,19,0,0
11/04/2020,2,21,1,20,1,1
12/04/2020,0,21,0,20,0,1
13/04/2020,0,21,0,20,0,1
14/04/2020,0,21,0,20,0,1
15/04/2020,2,23,2,22,0,1
16/04/2020,1,24,1,23,0,1
17/04/2020,2,26,2,25,0,1
18/04/2020,0,26,0,25,0,1
19/04/2020,2,28,2,27,0,1
20/04/2020,0,28,0,27,0,1
21/04/2020,4,32,4,31,0,1
22/04/2020,4,36,4,35,0,1
23/04/2020,0,36,0,35,0,1
24/04/2020,0,36,0,35,0,1
25/04/2020,1,37,1,36,0,1
26/04/2020,1,38,1,37,0,1
27/04/2020,11,49,11,48,0,1
28/04/2020,7,56,7,55,0,1
29/04/2020,4,60,4,59,0,1
30/04/2020,2,62,2,61,0,1
01/05/2020,17,79,17,78,0,1
02/05/2020,1,80,1,79,0,1
03/05/2020,5,85,5,84,0,1
04/05/2020,1,86,1,85,0,1
05/05/2020,0,86,0,85,0,1
06/05/2020,0,86,0,85,0,1
07/05/2020,4,90,4,89,0,1
08/05/2020,5,95,5,94,0,1
09/05/2020,0,95,0,94,0,1
10/05/2020,22,117,18,112,3,4
11/05/2020,0,117,0,112,0,4
12/05/2020,2,119,2,114,0,4
13/05/2020,1,120,1,115,0,4
14/05/2020,0,120,0,115,0,4
15/05/2020,18,138,18,133,0,4
16/05/2020,1,139,1,134,0,4
17/05/2020,0,139,0,134,0,4
18/05/2020,0,139,0,134,0,4
19/05/2020,5,144,5,139,0,4
20/05/2020,1,145,1,140,0,4
21/05/2020,1,146,1,141,0,4
22/05/2020,1,147,1,142,0,4
23/05/2020,2,149,1,143,0,4
24/05/2020,1,150,1,144,0,4
25/05/2020,1,151,1,145,0,4
26/05/2020,9,160,9,154,0,4
27/05/2020,0,160,0,154,0,4
28/05/2020,1,161,1,155,0,4
29/05/2020,0,161,0,155,0,4
30/05/2020,0,161,0,155,0,4
31/05/2020,5,166,5,160,0,4
01/06/2020,0,166,0,160,0,4
02/06/2020,0,166,0,160,0,4
03/06/2020,0,166,0,160,0,4
04/06/2020,1,167,0,160,1,5
05/06/2020,1,168,1,161,0,5
06/06/2020,0,168,0,161,0,5
07/06/2020,1,169,1,162,0,5
08/06/2020,0,169,0,162,0,5
09/06/2020,1,170,1,163,0,5
10/06/2020,2,172,1,164,0,5
11/06/2020,7,179,7,171,0,5
12/06/2020,9,188,9,180,0,5
13/06/2020,9,197,6,186,1,6
14/06/2020,3,200,3,189,0,6
15/06/2020,2,202,1,190,0,6
16/06/2020,4,206,3,193,0,6
17/06/2020,5,211,3,196,0,6
18/06/2020,3,214,1,197,0,6
19/06/2020,5,219,2,199,0,6
20/06/2020,10,229,2,201,0,6
21/06/2020,8,237,0,201,0,6
22/06/2020,2,239,0,201,0,6
23/06/2020,7,246,4,205,0,6
24/06/2020,5,251,3,208,0,6
25/06/2020,3,254,0,208,0,6
26/06/2020,1,255,0,208,0,6
27/06/2020,11,266,1,209,0,6
28/06/2020,6,272,1,210,0,6
29/06/2020,0,272,0,210,0,6
30/06/2020,0,272,0,210,0,6
01/07/2020,5,277,0,210,0,6
02/07/2020,6,283,0,210,1,7
03/07/2020,2,285,0,210,0,7
04/07/2020,2,287,0,210,0,7
05/07/2020,5,292,0,210,0,7
06/07/2020,4,296,0,210,0,7
07/07/2020,10,306,0,210,0,7
08/07/2020,2,308,0,210,0,7
09/07/2020,11,319,0,210,0,7
10/07/2020,27,346,0,210,0,7
11/07/2020,0,346,0,210,0,7
