date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,0,0,0,0,0,0
23/03/2020,0,0,0,0,0,0
24/03/2020,1,1,0,0,1,1
25/03/2020,0,1,0,0,0,1
26/03/2020,0,1,0,0,0,1
27/03/2020,0,1,0,0,0,1
28/03/2020,0,1,0,0,0,1
29/03/2020,0,1,0,0,0,1
30/03/2020,0,1,0,0,0,1
31/03/2020,0,1,0,0,0,1
01/04/2020,0,1,0,0,0,1
02/04/2020,0,1,0,0,0,1
03/04/2020,0,1,0,0,0,1
04/04/2020,0,1,0,0,0,1
05/04/2020,0,1,0,0,0,1
06/04/2020,0,1,0,0,0,1
07/04/2020,0,1,0,0,0,1
08/04/2020,2,3,2,2,0,1
09/04/2020,8,11,8,10,0,1
10/04/2020,3,14,2,12,1,2
11/04/2020,3,17,3,15,0,2
12/04/2020,0,17,0,15,0,2
13/04/2020,0,17,0,15,0,2
14/04/2020,3,20,3,18,0,2
15/04/2020,0,20,0,18,0,2
16/04/2020,0,20,0,18,0,2
17/04/2020,0,20,0,18,0,2
18/04/2020,0,20,0,18,0,2
19/04/2020,0,20,0,18,0,2
20/04/2020,4,24,3,21,1,3
21/04/2020,10,34,10,31,0,3
22/04/2020,0,34,0,31,0,3
23/04/2020,0,34,0,31,0,3
24/04/2020,9,43,9,40,0,3
25/04/2020,7,50,7,47,0,3
26/04/2020,1,51,0,47,0,3
27/04/2020,1,52,1,48,0,3
28/04/2020,1,53,1,49,0,3
29/04/2020,3,56,3,52,0,3
30/04/2020,0,56,0,52,0,3
01/05/2020,8,64,7,59,0,3
02/05/2020,2,66,2,61,0,3
03/05/2020,29,95,29,90,0,3
04/05/2020,0,95,0,90,0,3
05/05/2020,2,97,1,91,0,3
06/05/2020,2,99,2,93,0,3
07/05/2020,0,99,0,93,0,3
08/05/2020,0,99,0,93,0,3
09/05/2020,1,100,1,94,0,3
10/05/2020,0,100,0,94,0,3
11/05/2020,6,106,5,99,0,3
12/05/2020,2,108,1,100,0,3
13/05/2020,0,108,0,100,0,3
14/05/2020,0,108,0,100,0,3
15/05/2020,1,109,1,101,0,3
16/05/2020,0,109,0,101,0,3
17/05/2020,0,109,0,101,0,3
18/05/2020,3,112,1,102,0,3
19/05/2020,3,115,2,104,0,3
20/05/2020,0,115,0,104,0,3
21/05/2020,1,116,1,105,0,3
22/05/2020,2,118,1,106,1,4
23/05/2020,5,123,3,109,0,4
24/05/2020,0,123,0,109,0,4
25/05/2020,5,128,5,114,0,4
26/05/2020,6,134,6,120,0,4
27/05/2020,4,138,0,120,0,4
28/05/2020,3,141,3,123,0,4
29/05/2020,1,142,1,124,0,4
30/05/2020,0,142,0,124,0,4
31/05/2020,1,143,1,125,0,4
01/06/2020,7,150,6,131,0,4
02/06/2020,0,150,0,131,0,4
03/06/2020,13,163,10,141,0,4
04/06/2020,3,166,2,143,0,4
05/06/2020,13,179,13,156,0,4
06/06/2020,2,181,1,157,0,4
07/06/2020,2,183,1,158,0,4
08/06/2020,5,188,3,161,0,4
09/06/2020,8,196,3,164,0,4
10/06/2020,4,200,2,166,0,4
11/06/2020,0,200,0,166,0,4
12/06/2020,0,200,0,166,0,4
13/06/2020,2,202,0,166,0,4
14/06/2020,2,204,0,166,0,4
15/06/2020,7,211,0,166,0,4
16/06/2020,0,211,0,166,0,4
17/06/2020,3,214,0,166,1,5
18/06/2020,11,225,0,166,1,6
19/06/2020,9,234,0,166,1,7
20/06/2020,4,238,0,166,0,7
21/06/2020,25,263,1,167,1,8
22/06/2020,0,263,0,167,0,8
23/06/2020,0,263,0,167,0,8
24/06/2020,19,282,0,167,0,8
25/06/2020,1,283,0,167,0,8
26/06/2020,9,292,0,167,0,8
27/06/2020,0,292,0,167,0,8
28/06/2020,0,292,0,167,0,8
