date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,1,1,1,1,0,0
12/03/2020,0,1,0,1,0,0
13/03/2020,0,1,0,1,0,0
14/03/2020,0,1,0,1,0,0
15/03/2020,0,1,0,1,0,0
16/03/2020,0,1,0,1,0,0
17/03/2020,0,1,0,1,0,0
18/03/2020,0,1,0,1,0,0
19/03/2020,0,1,0,1,0,0
20/03/2020,0,1,0,1,0,0
21/03/2020,0,1,0,1,0,0
22/03/2020,0,1,0,1,0,0
23/03/2020,1,2,1,2,0,0
24/03/2020,0,2,0,2,0,0
25/03/2020,0,2,0,2,0,0
26/03/2020,0,2,0,2,0,0
27/03/2020,0,2,0,2,0,0
28/03/2020,0,2,0,2,0,0
29/03/2020,0,2,0,2,0,0
30/03/2020,0,2,0,2,0,0
31/03/2020,0,2,0,2,0,0
01/04/2020,0,2,0,2,0,0
02/04/2020,1,3,1,3,0,0
03/04/2020,4,7,4,7,0,0
04/04/2020,0,7,0,7,0,0
05/04/2020,2,9,2,9,0,0
06/04/2020,0,9,0,9,0,0
07/04/2020,1,10,1,10,0,0
08/04/2020,0,10,0,10,0,0
09/04/2020,0,10,0,10,0,0
10/04/2020,0,10,0,10,0,0
11/04/2020,0,10,0,10,0,0
12/04/2020,0,10,0,10,0,0
13/04/2020,0,10,0,10,0,0
14/04/2020,0,10,0,10,0,0
15/04/2020,0,10,0,10,0,0
16/04/2020,1,11,1,11,0,0
17/04/2020,0,11,0,11,0,0
18/04/2020,0,11,0,11,0,0
19/04/2020,2,13,2,13,0,0
20/04/2020,0,13,0,13,0,0
21/04/2020,0,13,0,13,0,0
22/04/2020,0,13,0,13,0,0
23/04/2020,0,13,0,13,0,0
24/04/2020,0,13,0,13,0,0
25/04/2020,0,13,0,13,0,0
26/04/2020,0,13,0,13,0,0
27/04/2020,0,13,0,13,0,0
28/04/2020,0,13,0,13,0,0
29/04/2020,0,13,0,13,0,0
30/04/2020,0,13,0,13,0,0
01/05/2020,0,13,0,13,0,0
02/05/2020,0,13,0,13,0,0
03/05/2020,0,13,0,13,0,0
04/05/2020,0,13,0,13,0,0
05/05/2020,0,13,0,13,0,0
06/05/2020,0,13,0,13,0,0
07/05/2020,1,14,1,14,0,0
08/05/2020,0,14,0,14,0,0
09/05/2020,0,14,0,14,0,0
10/05/2020,0,14,0,14,0,0
11/05/2020,0,14,0,14,0,0
12/05/2020,0,14,0,14,0,0
13/05/2020,1,15,1,15,0,0
14/05/2020,0,15,0,15,0,0
15/05/2020,0,15,0,15,0,0
16/05/2020,0,15,0,15,0,0
17/05/2020,0,15,0,15,0,0
18/05/2020,0,15,0,15,0,0
19/05/2020,1,16,1,16,0,0
20/05/2020,1,17,1,17,0,0
21/05/2020,0,17,0,17,0,0
22/05/2020,0,17,0,17,0,0
23/05/2020,0,17,0,17,0,0
24/05/2020,1,18,1,18,0,0
25/05/2020,0,18,0,18,0,0
26/05/2020,1,19,1,19,0,0
27/05/2020,0,19,0,19,0,0
28/05/2020,0,19,0,19,0,0
29/05/2020,0,19,0,19,0,0
30/05/2020,0,19,0,19,0,0
31/05/2020,0,19,0,19,0,0
01/06/2020,0,19,0,19,0,0
02/06/2020,0,19,0,19,0,0
03/06/2020,3,22,3,22,0,0
04/06/2020,1,23,1,23,0,0
05/06/2020,2,25,2,25,0,0
06/06/2020,1,26,1,26,0,0
07/06/2020,2,28,1,27,0,0
08/06/2020,5,33,3,30,0,0
09/06/2020,2,35,2,32,0,0
10/06/2020,0,35,0,32,0,0
11/06/2020,4,39,4,36,0,0
12/06/2020,2,41,2,38,0,0
13/06/2020,2,43,2,40,0,0
14/06/2020,5,48,4,44,0,0
15/06/2020,20,68,13,57,0,0
16/06/2020,3,71,2,59,0,0
17/06/2020,2,73,0,59,0,0
18/06/2020,4,77,2,61,0,0
19/06/2020,8,85,4,65,0,0
20/06/2020,4,89,3,68,0,0
21/06/2020,18,107,10,78,0,0
22/06/2020,5,112,1,79,0,0
23/06/2020,6,118,1,80,0,0
24/06/2020,4,122,2,82,0,0
25/06/2020,25,147,3,85,0,0
26/06/2020,6,153,0,85,0,0
27/06/2020,13,166,2,87,0,0
28/06/2020,28,194,2,89,0,0
29/06/2020,17,211,1,90,0,0
30/06/2020,9,220,0,90,0,0
01/07/2020,8,228,1,91,0,0
02/07/2020,20,248,1,92,0,0
03/07/2020,3,251,0,92,0,0
04/07/2020,26,277,0,92,0,0
05/07/2020,16,293,0,92,1,1
06/07/2020,14,307,0,92,0,1
07/07/2020,18,325,0,92,0,1
08/07/2020,22,347,1,93,0,1
09/07/2020,29,376,0,93,0,1
10/07/2020,10,386,0,93,0,1
11/07/2020,0,386,0,93,0,1
