date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,0,0,0,0,0,0
23/03/2020,0,0,0,0,0,0
24/03/2020,0,0,0,0,0,0
25/03/2020,0,0,0,0,0,0
26/03/2020,0,0,0,0,0,0
27/03/2020,0,0,0,0,0,0
28/03/2020,0,0,0,0,0,0
29/03/2020,0,0,0,0,0,0
30/03/2020,0,0,0,0,0,0
31/03/2020,0,0,0,0,0,0
01/04/2020,0,0,0,0,0,0
02/04/2020,0,0,0,0,0,0
03/04/2020,0,0,0,0,0,0
04/04/2020,0,0,0,0,0,0
05/04/2020,0,0,0,0,0,0
06/04/2020,0,0,0,0,0,0
07/04/2020,0,0,0,0,0,0
08/04/2020,3,3,3,3,0,0
09/04/2020,1,4,1,4,0,0
10/04/2020,0,4,0,4,0,0
11/04/2020,1,5,1,5,0,0
12/04/2020,0,5,0,5,0,0
13/04/2020,0,5,0,5,0,0
14/04/2020,0,5,0,5,0,0
15/04/2020,0,5,0,5,0,0
16/04/2020,2,7,1,6,1,1
17/04/2020,0,7,0,6,0,1
18/04/2020,0,7,0,6,0,1
19/04/2020,0,7,0,6,0,1
20/04/2020,0,7,0,6,0,1
21/04/2020,2,9,2,8,0,1
22/04/2020,0,9,0,8,0,1
23/04/2020,0,9,0,8,0,1
24/04/2020,1,10,1,9,0,1
25/04/2020,0,10,0,9,0,1
26/04/2020,1,11,1,10,0,1
27/04/2020,0,11,0,10,0,1
28/04/2020,0,11,0,10,0,1
29/04/2020,0,11,0,10,0,1
30/04/2020,0,11,0,10,0,1
01/05/2020,6,17,4,14,0,1
02/05/2020,0,17,0,14,0,1
03/05/2020,0,17,0,14,0,1
04/05/2020,2,19,2,16,0,1
05/05/2020,0,19,0,16,0,1
06/05/2020,0,19,0,16,0,1
07/05/2020,5,24,5,21,0,1
08/05/2020,3,27,3,24,0,1
09/05/2020,0,27,0,24,0,1
10/05/2020,0,27,0,24,0,1
11/05/2020,0,27,0,24,0,1
12/05/2020,0,27,0,24,0,1
13/05/2020,2,29,2,26,0,1
14/05/2020,1,30,0,26,1,2
15/05/2020,1,31,1,27,0,2
16/05/2020,0,31,0,27,0,2
17/05/2020,1,32,1,28,0,2
18/05/2020,1,33,1,29,0,2
19/05/2020,0,33,0,29,0,2
20/05/2020,2,35,2,31,0,2
21/05/2020,0,35,0,31,0,2
22/05/2020,1,36,1,32,0,2
23/05/2020,1,37,0,32,0,2
24/05/2020,1,38,1,33,0,2
25/05/2020,1,39,1,34,0,2
26/05/2020,1,40,1,35,0,2
27/05/2020,0,40,0,35,0,2
28/05/2020,1,41,1,36,0,2
29/05/2020,0,41,0,36,0,2
30/05/2020,2,43,2,38,0,2
31/05/2020,6,49,6,44,0,2
01/06/2020,0,49,0,44,0,2
02/06/2020,3,52,3,47,0,2
03/06/2020,0,52,0,47,0,2
04/06/2020,0,52,0,47,0,2
05/06/2020,3,55,3,50,0,2
06/06/2020,5,60,4,54,0,2
07/06/2020,2,62,1,55,1,3
08/06/2020,7,69,6,61,0,3
09/06/2020,1,70,1,62,0,3
10/06/2020,1,71,1,63,0,3
11/06/2020,1,72,1,64,0,3
12/06/2020,1,73,0,64,0,3
13/06/2020,0,73,0,64,0,3
14/06/2020,1,74,1,65,0,3
15/06/2020,3,77,2,67,0,3
16/06/2020,2,79,2,69,0,3
17/06/2020,2,81,2,71,0,3
18/06/2020,4,85,4,75,0,3
19/06/2020,12,97,12,87,0,3
20/06/2020,3,100,1,88,0,3
21/06/2020,1,101,0,88,0,3
22/06/2020,1,102,1,89,0,3
23/06/2020,4,106,3,92,0,3
24/06/2020,5,111,4,96,0,3
25/06/2020,2,113,2,98,0,3
26/06/2020,6,119,2,100,0,3
27/06/2020,5,124,3,103,0,3
28/06/2020,10,134,0,103,0,3
29/06/2020,0,134,0,103,0,3
30/06/2020,7,141,1,104,0,3
01/07/2020,4,145,1,105,0,3
02/07/2020,3,148,2,107,0,3
03/07/2020,0,148,0,107,0,3
04/07/2020,9,157,2,109,0,3
05/07/2020,4,161,0,109,1,4
06/07/2020,10,171,1,110,0,4
07/07/2020,10,181,1,111,1,5
08/07/2020,6,187,0,111,0,5
09/07/2020,17,204,1,112,0,5
10/07/2020,7,211,0,112,0,5
11/07/2020,2,213,0,112,0,5
12/07/2020,5,218,1,113,0,5
13/07/2020,2,220,0,113,0,5
14/07/2020,7,227,0,113,0,5
15/07/2020,14,241,1,114,1,6
16/07/2020,12,253,0,114,0,6
17/07/2020,13,266,3,117,1,7
18/07/2020,11,277,0,117,0,7
19/07/2020,23,300,0,117,0,7
20/07/2020,0,300,0,117,0,7
