date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,1,1,1,1,0,0
23/03/2020,0,1,0,1,0,0
24/03/2020,0,1,0,1,0,0
25/03/2020,1,2,1,2,0,0
26/03/2020,0,2,0,2,0,0
27/03/2020,0,2,0,2,0,0
28/03/2020,0,2,0,2,0,0
29/03/2020,0,2,0,2,0,0
30/03/2020,1,3,1,3,0,0
31/03/2020,0,3,0,3,0,0
01/04/2020,0,3,0,3,0,0
02/04/2020,0,3,0,3,0,0
03/04/2020,0,3,0,3,0,0
04/04/2020,0,3,0,3,0,0
05/04/2020,0,3,0,3,0,0
06/04/2020,0,3,0,3,0,0
07/04/2020,0,3,0,3,0,0
08/04/2020,1,4,0,3,1,1
09/04/2020,5,9,4,7,0,1
10/04/2020,1,10,1,8,0,1
11/04/2020,6,16,3,11,1,2
12/04/2020,0,16,0,11,0,2
13/04/2020,2,18,1,12,0,2
14/04/2020,0,18,0,12,0,2
15/04/2020,5,23,2,14,0,2
16/04/2020,2,25,2,16,0,2
17/04/2020,0,25,0,16,0,2
18/04/2020,0,25,0,16,0,2
19/04/2020,0,25,0,16,0,2
20/04/2020,2,27,0,16,0,2
21/04/2020,0,27,0,16,0,2
22/04/2020,0,27,0,16,0,2
23/04/2020,0,27,0,16,0,2
24/04/2020,3,30,0,16,0,2
25/04/2020,0,30,0,16,0,2
26/04/2020,1,31,1,17,0,2
27/04/2020,0,31,0,17,0,2
28/04/2020,0,31,0,17,0,2
29/04/2020,2,33,2,19,0,2
30/04/2020,9,42,0,19,0,2
01/05/2020,0,42,0,19,0,2
02/05/2020,0,42,0,19,0,2
03/05/2020,0,42,0,19,0,2
04/05/2020,0,42,0,19,0,2
05/05/2020,5,47,0,19,0,2
06/05/2020,3,50,0,19,0,2
07/05/2020,0,50,0,19,0,2
08/05/2020,0,50,0,19,0,2
09/05/2020,3,53,0,19,0,2
10/05/2020,0,53,0,19,0,2
11/05/2020,0,53,0,19,0,2
12/05/2020,1,54,0,19,0,2
13/05/2020,0,54,0,19,0,2
