date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,0,0,0,0,0,0
23/03/2020,0,0,0,0,0,0
24/03/2020,0,0,0,0,0,0
25/03/2020,0,0,0,0,0,0
26/03/2020,0,0,0,0,0,0
27/03/2020,0,0,0,0,0,0
28/03/2020,0,0,0,0,0,0
29/03/2020,0,0,0,0,0,0
30/03/2020,0,0,0,0,0,0
31/03/2020,0,0,0,0,0,0
01/04/2020,0,0,0,0,0,0
02/04/2020,0,0,0,0,0,0
03/04/2020,0,0,0,0,0,0
04/04/2020,0,0,0,0,0,0
05/04/2020,0,0,0,0,0,0
06/04/2020,0,0,0,0,0,0
07/04/2020,0,0,0,0,0,0
08/04/2020,0,0,0,0,0,0
09/04/2020,0,0,0,0,0,0
10/04/2020,0,0,0,0,0,0
11/04/2020,0,0,0,0,0,0
12/04/2020,0,0,0,0,0,0
13/04/2020,0,0,0,0,0,0
14/04/2020,0,0,0,0,0,0
15/04/2020,0,0,0,0,0,0
16/04/2020,0,0,0,0,0,0
17/04/2020,1,1,1,1,0,0
18/04/2020,3,4,3,4,0,0
19/04/2020,0,4,0,4,0,0
20/04/2020,0,4,0,4,0,0
21/04/2020,2,6,2,6,0,0
22/04/2020,0,6,0,6,0,0
23/04/2020,6,12,5,11,1,1
24/04/2020,2,14,2,13,0,1
25/04/2020,23,37,20,33,2,3
26/04/2020,3,40,2,35,0,3
27/04/2020,0,40,0,35,0,3
28/04/2020,37,77,31,66,6,9
29/04/2020,27,104,25,91,1,10
30/04/2020,0,104,0,91,0,10
01/05/2020,1,105,0,91,1,11
02/05/2020,31,136,24,115,6,17
03/05/2020,46,182,44,159,1,18
04/05/2020,47,229,46,205,1,19
05/05/2020,1,230,0,205,1,20
06/05/2020,0,230,0,205,0,20
07/05/2020,188,418,182,387,5,25
08/05/2020,12,430,12,399,0,25
09/05/2020,3,433,1,400,2,27
10/05/2020,93,526,84,484,7,34
11/05/2020,191,717,182,666,7,41
12/05/2020,25,742,24,690,1,42
13/05/2020,128,870,124,814,1,43
14/05/2020,53,923,50,864,1,44
15/05/2020,79,1002,79,943,0,44
16/05/2020,1,1003,1,944,0,44
17/05/2020,3,1006,1,945,2,46
18/05/2020,137,1143,132,1077,3,49
19/05/2020,38,1181,35,1112,2,51
20/05/2020,91,1272,80,1192,4,55
21/05/2020,73,1345,50,1242,0,55
22/05/2020,1,1346,0,1242,1,56
23/05/2020,2,1348,1,1243,1,57
24/05/2020,62,1410,45,1288,3,60
25/05/2020,55,1465,48,1336,4,64
26/05/2020,29,1494,25,1361,0,64
27/05/2020,189,1683,177,1538,1,65
28/05/2020,39,1722,36,1574,1,66
29/05/2020,36,1758,30,1604,0,66
30/05/2020,34,1792,25,1629,2,68
31/05/2020,16,1808,14,1643,1,69
01/06/2020,0,1808,0,1643,0,69
02/06/2020,4,1812,4,1647,0,69
03/06/2020,17,1829,8,1655,2,71
04/06/2020,0,1829,0,1655,0,71
05/06/2020,54,1883,44,1699,0,71
06/06/2020,26,1909,24,1723,0,71
07/06/2020,12,1921,0,1723,1,72
08/06/2020,37,1958,0,1723,2,74
09/06/2020,4,1962,0,1723,0,74
10/06/2020,24,1986,0,1723,1,75
11/06/2020,9,1995,0,1723,1,76
12/06/2020,16,2011,1,1724,0,76
13/06/2020,19,2030,0,1724,1,77
14/06/2020,14,2044,0,1724,0,77
15/06/2020,5,2049,0,1724,0,77
16/06/2020,22,2071,0,1724,0,77
17/06/2020,8,2079,0,1724,0,77
18/06/2020,5,2084,0,1724,0,77
19/06/2020,8,2092,0,1724,5,82
20/06/2020,0,2092,0,1724,0,82
21/06/2020,12,2104,0,1724,0,82
22/06/2020,0,2104,0,1724,0,82
23/06/2020,7,2111,0,1724,0,82
