date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,0,0,0,0,0,0
23/03/2020,0,0,0,0,0,0
24/03/2020,0,0,0,0,0,0
25/03/2020,0,0,0,0,0,0
26/03/2020,0,0,0,0,0,0
27/03/2020,0,0,0,0,0,0
28/03/2020,0,0,0,0,0,0
29/03/2020,0,0,0,0,0,0
30/03/2020,1,1,1,1,0,0
31/03/2020,0,1,0,1,0,0
01/04/2020,0,1,0,1,0,0
02/04/2020,0,1,0,1,0,0
03/04/2020,0,1,0,1,0,0
04/04/2020,0,1,0,1,0,0
05/04/2020,0,1,0,1,0,0
06/04/2020,0,1,0,1,0,0
07/04/2020,0,1,0,1,0,0
08/04/2020,0,1,0,1,0,0
09/04/2020,0,1,0,1,0,0
10/04/2020,3,4,3,4,0,0
11/04/2020,2,6,2,6,0,0
12/04/2020,1,7,0,6,1,1
13/04/2020,0,7,0,6,0,1
14/04/2020,0,7,0,6,0,1
15/04/2020,0,7,0,6,0,1
16/04/2020,9,16,9,15,0,1
17/04/2020,1,17,0,15,1,2
18/04/2020,0,17,0,15,0,2
19/04/2020,0,17,0,15,0,2
20/04/2020,2,19,2,17,0,2
21/04/2020,2,21,2,19,0,2
22/04/2020,2,23,1,20,0,2
23/04/2020,3,26,3,23,0,2
24/04/2020,0,26,0,23,0,2
25/04/2020,2,28,1,24,1,3
26/04/2020,0,28,0,24,0,3
27/04/2020,0,28,0,24,0,3
28/04/2020,1,29,0,24,1,4
29/04/2020,4,33,4,28,0,4
30/04/2020,15,48,13,41,2,6
01/05/2020,7,55,6,47,1,7
02/05/2020,3,58,3,50,0,7
03/05/2020,5,63,5,55,0,7
04/05/2020,3,66,2,57,1,8
05/05/2020,2,68,1,58,1,9
06/05/2020,0,68,0,58,0,9
07/05/2020,0,68,0,58,0,9
08/05/2020,4,72,4,62,0,9
09/05/2020,0,72,0,62,0,9
10/05/2020,5,77,5,67,0,9
11/05/2020,12,89,6,73,0,9
12/05/2020,19,108,12,85,1,10
13/05/2020,8,116,4,89,0,10
14/05/2020,17,133,9,98,4,14
15/05/2020,17,150,10,108,0,14
16/05/2020,12,162,3,111,1,15
17/05/2020,5,167,1,112,1,16
18/05/2020,25,192,7,119,1,17
19/05/2020,4,196,0,119,0,17
20/05/2020,1,197,1,120,0,17
21/05/2020,12,209,5,125,1,18
22/05/2020,8,217,3,128,1,19
23/05/2020,2,219,0,128,0,19
24/05/2020,3,222,1,129,1,20
25/05/2020,6,228,5,134,0,20
26/05/2020,8,236,0,134,1,21
27/05/2020,9,245,1,135,1,22
28/05/2020,1,246,0,135,0,22
29/05/2020,10,256,0,135,0,22
30/05/2020,10,266,0,135,1,23
31/05/2020,4,270,0,135,0,23
01/06/2020,10,280,0,135,0,23
02/06/2020,8,288,0,135,1,24
03/06/2020,28,316,0,135,1,25
04/06/2020,6,322,0,135,0,25
05/06/2020,8,330,0,135,1,26
