date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,0,0,0,0,0,0
23/03/2020,0,0,0,0,0,0
24/03/2020,1,1,1,1,0,0
25/03/2020,0,1,0,1,0,0
26/03/2020,0,1,0,1,0,0
27/03/2020,0,1,0,1,0,0
28/03/2020,1,2,1,2,0,0
29/03/2020,0,2,0,2,0,0
30/03/2020,0,2,0,2,0,0
31/03/2020,0,2,0,2,0,0
01/04/2020,0,2,0,2,0,0
02/04/2020,0,2,0,2,0,0
03/04/2020,0,2,0,2,0,0
04/04/2020,2,4,2,4,0,0
05/04/2020,1,5,1,5,0,0
06/04/2020,0,5,0,5,0,0
07/04/2020,0,5,0,5,0,0
08/04/2020,0,5,0,5,0,0
09/04/2020,0,5,0,5,0,0
10/04/2020,0,5,0,5,0,0
11/04/2020,1,6,1,6,0,0
12/04/2020,0,6,0,6,0,0
13/04/2020,0,6,0,6,0,0
14/04/2020,0,6,0,6,0,0
15/04/2020,0,6,0,6,0,0
16/04/2020,0,6,0,6,0,0
17/04/2020,1,7,1,7,0,0
18/04/2020,0,7,0,7,0,0
19/04/2020,0,7,0,7,0,0
20/04/2020,0,7,0,7,0,0
21/04/2020,2,9,2,9,0,0
22/04/2020,0,9,0,9,0,0
23/04/2020,0,9,0,9,0,0
24/04/2020,0,9,0,9,0,0
25/04/2020,2,11,2,11,0,0
26/04/2020,1,12,1,12,0,0
27/04/2020,1,13,1,13,0,0
28/04/2020,0,13,0,13,0,0
29/04/2020,0,13,0,13,0,0
30/04/2020,0,13,0,13,0,0
01/05/2020,0,13,0,13,0,0
02/05/2020,0,13,0,13,0,0
03/05/2020,1,14,1,14,0,0
04/05/2020,0,14,0,14,0,0
05/05/2020,0,14,0,14,0,0
06/05/2020,0,14,0,14,0,0
07/05/2020,0,14,0,14,0,0
08/05/2020,0,14,0,14,0,0
09/05/2020,0,14,0,14,0,0
10/05/2020,0,14,0,14,0,0
11/05/2020,0,14,0,14,0,0
12/05/2020,1,15,0,14,1,1
13/05/2020,1,16,1,15,0,1
14/05/2020,5,21,3,18,2,3
15/05/2020,3,24,1,19,1,4
16/05/2020,0,24,0,19,0,4
17/05/2020,0,24,0,19,0,4
18/05/2020,1,25,0,19,0,4
19/05/2020,0,25,0,19,0,4
20/05/2020,1,26,0,19,0,4
21/05/2020,1,27,0,19,0,4
22/05/2020,2,29,1,20,0,4
23/05/2020,1,30,0,20,0,4
24/05/2020,11,41,11,31,0,4
25/05/2020,12,53,11,42,0,4
26/05/2020,1,54,0,42,0,4
27/05/2020,0,54,0,42,0,4
28/05/2020,23,77,14,56,0,4
29/05/2020,2,79,0,56,1,5
30/05/2020,4,83,2,58,0,5
31/05/2020,2,85,0,58,0,5
01/06/2020,2,87,0,58,0,5
02/06/2020,13,100,0,58,1,6
03/06/2020,9,109,0,58,0,6
04/06/2020,2,111,0,58,0,6
05/06/2020,1,112,0,58,0,6
06/06/2020,2,114,0,58,0,6
07/06/2020,0,114,0,58,0,6
08/06/2020,4,118,0,58,2,8
09/06/2020,1,119,0,58,1,9
10/06/2020,1,120,0,58,0,9
11/06/2020,6,126,0,58,1,10
12/06/2020,1,127,0,58,0,10
13/06/2020,7,134,0,58,0,10
14/06/2020,4,138,0,58,0,10
15/06/2020,1,139,0,58,0,10
