date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,0,0,0,0,0,0
23/03/2020,0,0,0,0,0,0
24/03/2020,1,1,0,0,1,1
25/03/2020,0,1,0,0,0,1
26/03/2020,0,1,0,0,0,1
27/03/2020,0,1,0,0,0,1
28/03/2020,1,2,1,1,0,1
29/03/2020,0,2,0,1,0,1
30/03/2020,0,2,0,1,0,1
31/03/2020,2,4,2,3,0,1
01/04/2020,2,6,2,5,0,1
02/04/2020,0,6,0,5,0,1
03/04/2020,0,6,0,5,0,1
04/04/2020,0,6,0,5,0,1
05/04/2020,0,6,0,5,0,1
06/04/2020,0,6,0,5,0,1
07/04/2020,0,6,0,5,0,1
08/04/2020,3,9,2,7,1,2
09/04/2020,19,28,13,20,1,3
10/04/2020,3,31,2,22,1,4
11/04/2020,7,38,5,27,0,4
12/04/2020,0,38,0,27,0,4
13/04/2020,0,38,0,27,0,4
14/04/2020,3,41,1,28,0,4
15/04/2020,1,42,1,29,0,4
16/04/2020,2,44,0,29,1,5
17/04/2020,2,46,0,29,1,6
18/04/2020,1,47,1,30,0,6
19/04/2020,0,47,0,30,0,6
20/04/2020,5,52,1,31,1,7
21/04/2020,10,62,6,37,0,7
22/04/2020,0,62,0,37,0,7
23/04/2020,0,62,0,37,0,7
24/04/2020,17,79,2,39,1,8
25/04/2020,13,92,3,42,0,8
26/04/2020,1,93,0,42,0,8
27/04/2020,3,96,1,43,0,8
28/04/2020,17,113,1,44,0,8
29/04/2020,5,118,1,45,0,8
30/04/2020,0,118,0,45,0,8
01/05/2020,36,154,3,48,2,10
02/05/2020,3,157,0,48,0,10
03/05/2020,44,201,0,48,1,11
04/05/2020,0,201,0,48,0,11
05/05/2020,46,247,0,48,4,15
06/05/2020,6,253,0,48,0,15
07/05/2020,0,253,0,48,0,15
08/05/2020,0,253,0,48,0,15
09/05/2020,9,262,0,48,0,15
10/05/2020,34,296,0,48,1,16
11/05/2020,10,306,0,48,1,17
12/05/2020,32,338,0,48,1,18
13/05/2020,0,338,0,48,0,18
14/05/2020,39,377,0,48,2,20
15/05/2020,0,377,0,48,0,20
