date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,3,3,3,3,0,0
13/03/2020,0,3,0,3,0,0
14/03/2020,4,7,4,7,0,0
15/03/2020,0,7,0,7,0,0
16/03/2020,0,7,0,7,0,0
17/03/2020,1,8,1,8,0,0
18/03/2020,0,8,0,8,0,0
19/03/2020,1,9,1,9,0,0
20/03/2020,0,9,0,9,0,0
21/03/2020,1,10,1,10,0,0
22/03/2020,0,10,0,10,0,0
23/03/2020,1,11,0,10,1,1
24/03/2020,2,13,2,12,0,1
25/03/2020,0,13,0,12,0,1
26/03/2020,0,13,0,12,0,1
27/03/2020,0,13,0,12,0,1
28/03/2020,0,13,0,12,0,1
29/03/2020,2,15,2,14,0,1
30/03/2020,3,18,2,16,1,2
31/03/2020,3,21,3,19,0,2
01/04/2020,6,27,4,23,0,2
02/04/2020,0,27,0,23,0,2
03/04/2020,2,29,1,24,0,2
04/04/2020,2,31,0,24,0,2
05/04/2020,0,31,0,24,0,2
06/04/2020,0,31,0,24,0,2
07/04/2020,0,31,0,24,0,2
08/04/2020,4,35,2,26,0,2
09/04/2020,1,36,1,27,0,2
10/04/2020,2,38,0,27,0,2
11/04/2020,8,46,2,29,2,4
12/04/2020,0,46,0,29,0,4
13/04/2020,3,49,0,29,0,4
14/04/2020,0,49,0,29,0,4
15/04/2020,0,49,0,29,0,4
16/04/2020,4,53,1,30,0,4
17/04/2020,2,55,0,30,0,4
18/04/2020,7,62,0,30,0,4
19/04/2020,0,62,0,30,0,4
20/04/2020,0,62,0,30,0,4
21/04/2020,2,64,0,30,0,4
22/04/2020,0,64,0,30,0,4
23/04/2020,0,64,0,30,0,4
24/04/2020,0,64,0,30,0,4
25/04/2020,2,66,0,30,0,4
26/04/2020,2,68,0,30,0,4
27/04/2020,5,73,0,30,0,4
28/04/2020,7,80,0,30,0,4
29/04/2020,2,82,0,30,0,4
30/04/2020,0,82,0,30,0,4
