date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,0,0,0,0,0,0
23/03/2020,0,0,0,0,0,0
24/03/2020,0,0,0,0,0,0
25/03/2020,0,0,0,0,0,0
26/03/2020,0,0,0,0,0,0
27/03/2020,0,0,0,0,0,0
28/03/2020,1,1,1,1,0,0
29/03/2020,0,1,0,1,0,0
30/03/2020,0,1,0,1,0,0
31/03/2020,1,2,1,2,0,0
01/04/2020,0,2,0,2,0,0
02/04/2020,0,2,0,2,0,0
03/04/2020,0,2,0,2,0,0
04/04/2020,0,2,0,2,0,0
05/04/2020,0,2,0,2,0,0
06/04/2020,0,2,0,2,0,0
07/04/2020,0,2,0,2,0,0
08/04/2020,1,3,0,2,1,1
09/04/2020,7,10,6,8,1,2
10/04/2020,0,10,0,8,0,2
11/04/2020,1,11,1,9,0,2
12/04/2020,0,11,0,9,0,2
13/04/2020,0,11,0,9,0,2
14/04/2020,0,11,0,9,0,2
15/04/2020,1,12,1,10,0,2
16/04/2020,1,13,1,11,0,2
17/04/2020,0,13,0,11,0,2
18/04/2020,0,13,0,11,0,2
19/04/2020,0,13,0,11,0,2
20/04/2020,0,13,0,11,0,2
21/04/2020,0,13,0,11,0,2
22/04/2020,0,13,0,11,0,2
23/04/2020,0,13,0,11,0,2
24/04/2020,3,16,3,14,0,2
25/04/2020,0,16,0,14,0,2
26/04/2020,0,16,0,14,0,2
27/04/2020,1,17,1,15,0,2
28/04/2020,4,21,4,19,0,2
29/04/2020,2,23,2,21,0,2
30/04/2020,0,23,0,21,0,2
01/05/2020,2,25,1,22,1,3
02/05/2020,0,25,0,22,0,3
03/05/2020,2,27,1,23,0,3
04/05/2020,0,27,0,23,0,3
05/05/2020,2,29,1,24,1,4
06/05/2020,0,29,0,24,0,4
07/05/2020,0,29,0,24,0,4
08/05/2020,0,29,0,24,0,4
09/05/2020,1,30,1,25,0,4
10/05/2020,2,32,2,27,0,4
11/05/2020,1,33,1,28,0,4
12/05/2020,3,36,2,30,0,4
13/05/2020,0,36,0,30,0,4
14/05/2020,0,36,0,30,0,4
15/05/2020,2,38,2,32,0,4
16/05/2020,3,41,2,34,0,4
17/05/2020,4,45,3,37,1,5
18/05/2020,0,45,0,37,0,5
19/05/2020,7,52,6,43,1,6
20/05/2020,1,53,1,44,0,6
21/05/2020,0,53,0,44,0,6
22/05/2020,7,60,7,51,0,6
23/05/2020,3,63,3,54,0,6
24/05/2020,5,68,5,59,0,6
25/05/2020,14,82,14,73,0,6
26/05/2020,1,83,1,74,0,6
27/05/2020,2,85,1,75,0,6
28/05/2020,3,88,1,76,2,8
29/05/2020,0,88,0,76,0,8
30/05/2020,5,93,5,81,0,8
31/05/2020,6,99,6,87,0,8
01/06/2020,2,101,2,89,0,8
02/06/2020,6,107,5,94,1,9
03/06/2020,9,116,9,103,0,9
04/06/2020,13,129,11,114,0,9
05/06/2020,24,153,24,138,0,9
06/06/2020,18,171,17,155,1,10
07/06/2020,41,212,37,192,1,11
08/06/2020,24,236,21,213,1,12
09/06/2020,13,249,11,224,1,13
10/06/2020,17,266,15,239,1,14
11/06/2020,9,275,8,247,0,14
12/06/2020,7,282,6,253,0,14
13/06/2020,9,291,7,260,0,14
14/06/2020,8,299,5,265,0,14
15/06/2020,7,306,1,266,0,14
16/06/2020,4,310,1,267,0,14
17/06/2020,6,316,4,271,0,14
18/06/2020,11,327,4,275,0,14
19/06/2020,3,330,0,275,0,14
20/06/2020,5,335,2,277,0,14
21/06/2020,31,366,9,286,0,14
22/06/2020,40,406,13,299,0,14
23/06/2020,9,415,9,308,0,14
24/06/2020,42,457,10,318,0,14
25/06/2020,28,485,7,325,3,17
26/06/2020,38,523,5,330,1,18
27/06/2020,15,538,2,332,0,18
28/06/2020,54,592,0,332,0,18
29/06/2020,56,648,1,333,2,20
30/06/2020,24,672,14,347,1,21
01/07/2020,36,708,0,347,0,21
02/07/2020,30,738,0,347,0,21
03/07/2020,45,783,0,347,1,22
04/07/2020,38,821,1,348,0,22
05/07/2020,68,889,10,358,2,24
06/07/2020,25,914,0,358,0,24
07/07/2020,47,961,0,358,0,24
08/07/2020,23,984,0,358,1,25
09/07/2020,101,1085,0,358,1,26
10/07/2020,81,1166,0,358,0,26
11/07/2020,0,1166,0,358,0,26
12/07/2020,0,1166,0,358,0,26
