date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,1,1,1,1,0,0
18/03/2020,2,3,2,3,0,0
19/03/2020,0,3,0,3,0,0
20/03/2020,1,4,1,4,0,0
21/03/2020,1,5,1,5,0,0
22/03/2020,2,7,2,7,0,0
23/03/2020,0,7,0,7,0,0
24/03/2020,3,10,2,9,1,1
25/03/2020,2,12,2,11,0,1
26/03/2020,0,12,0,11,0,1
27/03/2020,0,12,0,11,0,1
28/03/2020,0,12,0,11,0,1
29/03/2020,8,20,8,19,0,1
30/03/2020,0,20,0,19,0,1
31/03/2020,5,25,5,24,0,1
01/04/2020,0,25,0,24,0,1
02/04/2020,0,25,0,24,0,1
03/04/2020,2,27,2,26,0,1
04/04/2020,0,27,0,26,0,1
05/04/2020,0,27,0,26,0,1
06/04/2020,0,27,0,26,0,1
07/04/2020,0,27,0,26,0,1
08/04/2020,5,32,3,29,2,3
09/04/2020,1,33,1,30,0,3
10/04/2020,2,35,1,31,1,4
11/04/2020,3,38,3,34,0,4
12/04/2020,2,40,2,36,0,4
13/04/2020,1,41,1,37,0,4
14/04/2020,3,44,3,40,0,4
15/04/2020,2,46,2,42,0,4
16/04/2020,0,46,0,42,0,4
17/04/2020,29,75,27,69,2,6
18/04/2020,8,83,8,77,0,6
19/04/2020,4,87,4,81,0,6
20/04/2020,0,87,0,81,0,6
21/04/2020,2,89,2,83,0,6
22/04/2020,5,94,5,88,0,6
23/04/2020,3,97,3,91,0,6
24/04/2020,1,98,1,92,0,6
25/04/2020,25,123,25,117,0,6
26/04/2020,3,126,3,120,0,6
27/04/2020,0,126,0,120,0,6
28/04/2020,6,132,6,126,0,6
29/04/2020,0,132,0,126,0,6
30/04/2020,6,138,6,132,0,6
01/05/2020,1,139,1,133,0,6
02/05/2020,4,143,3,136,1,7
03/05/2020,0,143,0,136,0,7
04/05/2020,0,143,0,136,0,7
05/05/2020,0,143,0,136,0,7
06/05/2020,0,143,0,136,0,7
07/05/2020,0,143,0,136,0,7
08/05/2020,1,144,1,137,0,7
09/05/2020,2,146,2,139,0,7
10/05/2020,0,146,0,139,0,7
11/05/2020,0,146,0,139,0,7
12/05/2020,0,146,0,139,0,7
13/05/2020,17,163,17,156,0,7
14/05/2020,2,165,2,158,0,7
15/05/2020,0,165,0,158,0,7
16/05/2020,0,165,0,158,0,7
17/05/2020,0,165,0,158,0,7
18/05/2020,0,165,0,158,0,7
19/05/2020,0,165,0,158,0,7
20/05/2020,0,165,0,158,0,7
21/05/2020,1,166,1,159,0,7
22/05/2020,0,166,0,159,0,7
23/05/2020,1,167,1,160,0,7
24/05/2020,1,168,1,161,0,7
25/05/2020,3,171,3,164,0,7
26/05/2020,0,171,0,164,0,7
27/05/2020,2,173,2,166,0,7
28/05/2020,0,173,0,166,0,7
29/05/2020,0,173,0,166,0,7
30/05/2020,2,175,2,168,0,7
31/05/2020,0,175,0,168,0,7
01/06/2020,0,175,0,168,0,7
02/06/2020,0,175,0,168,0,7
03/06/2020,1,176,0,168,0,7
04/06/2020,1,177,1,169,0,7
05/06/2020,2,179,0,169,0,7
06/06/2020,3,182,0,169,0,7
07/06/2020,1,183,1,170,0,7
08/06/2020,0,183,0,170,0,7
09/06/2020,2,185,0,170,0,7
10/06/2020,4,189,2,172,0,7
11/06/2020,3,192,0,172,0,7
12/06/2020,2,194,0,172,0,7
13/06/2020,3,197,0,172,0,7
14/06/2020,2,199,0,172,0,7
15/06/2020,0,199,0,172,0,7
16/06/2020,1,200,0,172,0,7
17/06/2020,3,203,0,172,0,7
18/06/2020,23,226,0,172,0,7
19/06/2020,3,229,0,172,0,7
20/06/2020,7,236,0,172,0,7
21/06/2020,2,238,0,172,0,7
22/06/2020,2,240,0,172,0,7
23/06/2020,5,245,0,172,0,7
24/06/2020,11,256,0,172,0,7
25/06/2020,5,261,0,172,0,7
