date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,0,0,0,0,0,0
23/03/2020,0,0,0,0,0,0
24/03/2020,0,0,0,0,0,0
25/03/2020,0,0,0,0,0,0
26/03/2020,0,0,0,0,0,0
27/03/2020,0,0,0,0,0,0
28/03/2020,0,0,0,0,0,0
29/03/2020,0,0,0,0,0,0
30/03/2020,0,0,0,0,0,0
31/03/2020,1,1,1,1,0,0
01/04/2020,0,1,0,1,0,0
02/04/2020,0,1,0,1,0,0
03/04/2020,0,1,0,1,0,0
04/04/2020,0,1,0,1,0,0
05/04/2020,0,1,0,1,0,0
06/04/2020,0,1,0,1,0,0
07/04/2020,0,1,0,1,0,0
08/04/2020,0,1,0,1,0,0
09/04/2020,0,1,0,1,0,0
10/04/2020,0,1,0,1,0,0
11/04/2020,0,1,0,1,0,0
12/04/2020,0,1,0,1,0,0
13/04/2020,0,1,0,1,0,0
14/04/2020,0,1,0,1,0,0
15/04/2020,0,1,0,1,0,0
16/04/2020,0,1,0,1,0,0
17/04/2020,0,1,0,1,0,0
18/04/2020,1,2,0,1,1,1
19/04/2020,0,2,0,1,0,1
20/04/2020,0,2,0,1,0,1
21/04/2020,0,2,0,1,0,1
22/04/2020,0,2,0,1,0,1
23/04/2020,0,2,0,1,0,1
24/04/2020,0,2,0,1,0,1
25/04/2020,3,5,3,4,0,1
26/04/2020,0,5,0,4,0,1
27/04/2020,0,5,0,4,0,1
28/04/2020,0,5,0,4,0,1
29/04/2020,1,6,1,5,0,1
30/04/2020,0,6,0,5,0,1
01/05/2020,0,6,0,5,0,1
02/05/2020,0,6,0,5,0,1
03/05/2020,0,6,0,5,0,1
04/05/2020,0,6,0,5,0,1
05/05/2020,1,7,1,6,0,1
06/05/2020,0,7,0,6,0,1
07/05/2020,0,7,0,6,0,1
08/05/2020,0,7,0,6,0,1
09/05/2020,0,7,0,6,0,1
10/05/2020,1,8,1,7,0,1
11/05/2020,0,8,0,7,0,1
12/05/2020,0,8,0,7,0,1
13/05/2020,1,9,1,8,0,1
14/05/2020,0,9,0,8,0,1
15/05/2020,1,10,1,9,0,1
16/05/2020,1,11,1,10,0,1
17/05/2020,0,11,0,10,0,1
18/05/2020,0,11,0,10,0,1
19/05/2020,0,11,0,10,0,1
20/05/2020,0,11,0,10,0,1
21/05/2020,0,11,0,10,0,1
22/05/2020,0,11,0,10,0,1
23/05/2020,0,11,0,10,0,1
24/05/2020,0,11,0,10,0,1
25/05/2020,0,11,0,10,0,1
26/05/2020,2,13,2,12,0,1
27/05/2020,0,13,0,12,0,1
28/05/2020,0,13,0,12,0,1
29/05/2020,0,13,0,12,0,1
30/05/2020,0,13,0,12,0,1
31/05/2020,0,13,0,12,0,1
01/06/2020,0,13,0,12,0,1
02/06/2020,0,13,0,12,0,1
03/06/2020,0,13,0,12,0,1
04/06/2020,0,13,0,12,0,1
05/06/2020,0,13,0,12,0,1
06/06/2020,0,13,0,12,0,1
07/06/2020,0,13,0,12,0,1
08/06/2020,0,13,0,12,0,1
09/06/2020,0,13,0,12,0,1
10/06/2020,0,13,0,12,0,1
11/06/2020,1,14,1,13,0,1
12/06/2020,0,14,0,13,0,1
13/06/2020,0,14,0,13,0,1
14/06/2020,1,15,0,13,0,1
15/06/2020,0,15,0,13,0,1
16/06/2020,1,16,1,14,0,1
17/06/2020,4,20,2,16,0,1
18/06/2020,1,21,1,17,0,1
19/06/2020,1,22,1,18,0,1
20/06/2020,0,22,0,18,0,1
21/06/2020,10,32,10,28,0,1
22/06/2020,3,35,3,31,0,1
23/06/2020,3,38,2,33,1,2
24/06/2020,3,41,3,36,0,2
25/06/2020,2,43,2,38,0,2
26/06/2020,0,43,0,38,0,2
27/06/2020,14,57,5,43,0,2
28/06/2020,7,64,3,46,0,2
29/06/2020,2,66,2,48,0,2
30/06/2020,15,81,9,57,0,2
01/07/2020,6,87,4,61,0,2
02/07/2020,18,105,11,72,1,3
03/07/2020,4,109,2,74,1,4
04/07/2020,5,114,1,75,1,5
05/07/2020,3,117,0,75,0,5
06/07/2020,4,121,2,77,0,5
07/07/2020,4,125,0,77,0,5
08/07/2020,9,134,0,77,0,5
09/07/2020,20,154,0,77,1,6
10/07/2020,5,159,0,77,0,6
11/07/2020,12,171,1,78,0,6
12/07/2020,6,177,0,78,0,6
13/07/2020,2,179,0,78,0,6
14/07/2020,15,194,0,78,2,8
15/07/2020,23,217,0,78,0,8
16/07/2020,28,245,0,78,0,8
17/07/2020,59,304,1,79,0,8
18/07/2020,64,368,0,79,0,8
19/07/2020,0,368,0,79,0,8
20/07/2020,0,368,0,79,0,8
