date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,1,1,1,1,0,0
15/03/2020,0,1,0,1,0,0
16/03/2020,0,1,0,1,0,0
17/03/2020,1,2,1,2,0,0
18/03/2020,3,5,2,4,0,0
19/03/2020,0,5,0,4,0,0
20/03/2020,1,6,1,5,0,0
21/03/2020,1,7,1,6,0,0
22/03/2020,5,12,5,11,0,0
23/03/2020,1,13,1,12,0,0
24/03/2020,3,16,2,14,1,1
25/03/2020,2,18,2,16,0,1
26/03/2020,0,18,0,16,0,1
27/03/2020,0,18,0,16,0,1
28/03/2020,0,18,0,16,0,1
29/03/2020,10,28,9,25,0,1
30/03/2020,0,28,0,25,0,1
31/03/2020,6,34,5,30,0,1
01/04/2020,0,34,0,30,0,1
02/04/2020,0,34,0,30,0,1
03/04/2020,2,36,2,32,0,1
04/04/2020,0,36,0,32,0,1
05/04/2020,0,36,0,32,0,1
06/04/2020,0,36,0,32,0,1
07/04/2020,0,36,0,32,0,1
08/04/2020,10,46,7,39,2,3
09/04/2020,3,49,2,41,0,3
10/04/2020,3,52,1,42,1,4
11/04/2020,6,58,6,48,0,4
12/04/2020,3,61,3,51,0,4
13/04/2020,1,62,0,51,0,4
14/04/2020,8,70,6,57,0,4
15/04/2020,3,73,2,59,0,4
16/04/2020,0,73,0,59,0,4
17/04/2020,40,113,24,83,2,6
18/04/2020,12,125,4,87,1,7
19/04/2020,6,131,4,91,0,7
20/04/2020,0,131,0,91,0,7
21/04/2020,5,136,4,95,0,7
22/04/2020,6,142,3,98,0,7
23/04/2020,4,146,2,100,0,7
24/04/2020,2,148,1,101,0,7
25/04/2020,32,180,17,118,0,7
26/04/2020,5,185,2,120,0,7
27/04/2020,0,185,0,120,0,7
28/04/2020,6,191,0,120,0,7
29/04/2020,2,193,0,120,0,7
30/04/2020,6,199,0,120,0,7
01/05/2020,4,203,0,120,0,7
02/05/2020,5,208,0,120,1,8
03/05/2020,3,211,0,120,0,8
04/05/2020,0,211,0,120,0,8
05/05/2020,0,211,0,120,0,8
06/05/2020,1,212,0,120,0,8
07/05/2020,0,212,0,120,0,8
08/05/2020,2,214,0,120,0,8
09/05/2020,2,216,0,120,0,8
10/05/2020,0,216,0,120,0,8
11/05/2020,0,216,0,120,0,8
