date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,0,0,0,0,0,0
23/03/2020,0,0,0,0,0,0
24/03/2020,0,0,0,0,0,0
25/03/2020,0,0,0,0,0,0
26/03/2020,0,0,0,0,0,0
27/03/2020,0,0,0,0,0,0
28/03/2020,0,0,0,0,0,0
29/03/2020,0,0,0,0,0,0
30/03/2020,0,0,0,0,0,0
31/03/2020,0,0,0,0,0,0
01/04/2020,0,0,0,0,0,0
02/04/2020,0,0,0,0,0,0
03/04/2020,0,0,0,0,0,0
04/04/2020,0,0,0,0,0,0
05/04/2020,0,0,0,0,0,0
06/04/2020,0,0,0,0,0,0
07/04/2020,0,0,0,0,0,0
08/04/2020,0,0,0,0,0,0
09/04/2020,0,0,0,0,0,0
10/04/2020,0,0,0,0,0,0
11/04/2020,0,0,0,0,0,0
12/04/2020,0,0,0,0,0,0
13/04/2020,0,0,0,0,0,0
14/04/2020,0,0,0,0,0,0
15/04/2020,0,0,0,0,0,0
16/04/2020,0,0,0,0,0,0
17/04/2020,0,0,0,0,0,0
18/04/2020,0,0,0,0,0,0
19/04/2020,0,0,0,0,0,0
20/04/2020,0,0,0,0,0,0
21/04/2020,0,0,0,0,0,0
22/04/2020,0,0,0,0,0,0
23/04/2020,0,0,0,0,0,0
24/04/2020,0,0,0,0,0,0
25/04/2020,0,0,0,0,0,0
26/04/2020,0,0,0,0,0,0
27/04/2020,0,0,0,0,0,0
28/04/2020,0,0,0,0,0,0
29/04/2020,0,0,0,0,0,0
30/04/2020,1,1,1,1,0,0
01/05/2020,0,1,0,1,0,0
02/05/2020,1,2,1,2,0,0
03/05/2020,0,2,0,2,0,0
04/05/2020,0,2,0,2,0,0
05/05/2020,0,2,0,2,0,0
06/05/2020,0,2,0,2,0,0
07/05/2020,1,3,1,3,0,0
08/05/2020,0,3,0,3,0,0
09/05/2020,0,3,0,3,0,0
10/05/2020,6,9,6,9,0,0
11/05/2020,0,9,0,9,0,0
12/05/2020,2,11,2,11,0,0
13/05/2020,0,11,0,11,0,0
14/05/2020,1,12,1,12,0,0
15/05/2020,1,13,1,13,0,0
16/05/2020,0,13,0,13,0,0
17/05/2020,4,17,3,16,0,0
18/05/2020,0,17,0,16,0,0
19/05/2020,0,17,0,16,0,0
20/05/2020,1,18,1,17,0,0
21/05/2020,3,21,3,20,0,0
22/05/2020,0,21,0,20,0,0
23/05/2020,3,24,3,23,0,0
24/05/2020,2,26,2,25,0,0
25/05/2020,1,27,1,26,0,0
26/05/2020,1,28,1,27,0,0
27/05/2020,0,28,0,27,0,0
28/05/2020,0,28,0,27,0,0
29/05/2020,0,28,0,27,0,0
30/05/2020,3,31,3,30,0,0
31/05/2020,2,33,2,32,0,0
01/06/2020,1,34,0,32,0,0
02/06/2020,26,60,26,58,0,0
03/06/2020,1,61,1,59,0,0
04/06/2020,23,84,21,80,1,1
05/06/2020,4,88,4,84,0,1
06/06/2020,4,92,4,88,0,1
07/06/2020,13,105,8,96,0,1
08/06/2020,1,106,1,97,0,1
09/06/2020,0,106,0,97,0,1
10/06/2020,4,110,3,100,0,1
11/06/2020,0,110,0,100,0,1
12/06/2020,22,132,10,110,0,1
13/06/2020,6,138,0,110,0,1
14/06/2020,1,139,1,111,0,1
15/06/2020,10,149,1,112,1,2
16/06/2020,10,159,1,113,1,3
17/06/2020,11,170,4,117,0,3
18/06/2020,12,182,3,120,2,5
19/06/2020,12,194,3,123,1,6
20/06/2020,12,206,1,124,0,6
21/06/2020,17,223,0,124,1,7
22/06/2020,19,242,2,126,0,7
23/06/2020,9,251,0,126,0,7
24/06/2020,18,269,0,126,1,8
25/06/2020,8,277,1,127,0,8
26/06/2020,25,302,3,130,0,8
27/06/2020,17,319,0,130,0,8
28/06/2020,14,333,2,132,0,8
29/06/2020,7,340,1,133,1,9
30/06/2020,2,342,0,133,0,9
01/07/2020,17,359,0,133,0,9
02/07/2020,0,359,0,133,0,9
