date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,0,0,0,0,0,0
23/03/2020,0,0,0,0,0,0
24/03/2020,0,0,0,0,0,0
25/03/2020,0,0,0,0,0,0
26/03/2020,0,0,0,0,0,0
27/03/2020,0,0,0,0,0,0
28/03/2020,0,0,0,0,0,0
29/03/2020,0,0,0,0,0,0
30/03/2020,0,0,0,0,0,0
31/03/2020,1,1,1,1,0,0
01/04/2020,0,1,0,1,0,0
02/04/2020,0,1,0,1,0,0
03/04/2020,0,1,0,1,0,0
04/04/2020,0,1,0,1,0,0
05/04/2020,0,1,0,1,0,0
06/04/2020,0,1,0,1,0,0
07/04/2020,0,1,0,1,0,0
08/04/2020,0,1,0,1,0,0
09/04/2020,1,2,1,2,0,0
10/04/2020,0,2,0,2,0,0
11/04/2020,2,4,1,3,0,0
12/04/2020,0,4,0,3,0,0
13/04/2020,0,4,0,3,0,0
14/04/2020,0,4,0,3,0,0
15/04/2020,0,4,0,3,0,0
16/04/2020,1,5,0,3,1,1
17/04/2020,1,6,1,4,0,1
18/04/2020,1,7,1,5,0,1
19/04/2020,0,7,0,5,0,1
20/04/2020,1,8,1,6,0,1
21/04/2020,0,8,0,6,0,1
22/04/2020,0,8,0,6,0,1
23/04/2020,0,8,0,6,0,1
24/04/2020,4,12,3,9,1,2
25/04/2020,6,18,6,15,0,2
26/04/2020,0,18,0,15,0,2
27/04/2020,1,19,1,16,0,2
28/04/2020,9,28,8,24,0,2
29/04/2020,0,28,0,24,0,2
30/04/2020,0,28,0,24,0,2
01/05/2020,20,48,15,39,1,3
02/05/2020,1,49,1,40,0,3
03/05/2020,11,60,9,49,1,4
04/05/2020,0,60,0,49,0,4
05/05/2020,39,99,35,84,3,7
06/05/2020,3,102,3,87,0,7
07/05/2020,0,102,0,87,0,7
08/05/2020,0,102,0,87,0,7
09/05/2020,4,106,2,89,0,7
10/05/2020,30,136,29,118,0,7
11/05/2020,3,139,1,119,2,9
12/05/2020,25,164,24,143,1,10
13/05/2020,0,164,0,143,0,10
14/05/2020,38,202,36,179,2,12
15/05/2020,41,243,37,216,2,14
16/05/2020,61,304,59,275,2,16
17/05/2020,1,305,1,276,0,16
18/05/2020,2,307,2,278,0,16
19/05/2020,9,316,9,287,0,16
20/05/2020,28,344,28,315,0,16
21/05/2020,44,388,42,357,2,18
22/05/2020,26,414,25,382,1,19
23/05/2020,7,421,6,388,1,20
24/05/2020,43,464,40,428,2,22
25/05/2020,45,509,39,467,5,27
26/05/2020,5,514,5,472,0,27
27/05/2020,13,527,12,484,1,28
28/05/2020,10,537,9,493,0,28
29/05/2020,76,613,73,566,3,31
30/05/2020,42,655,42,608,0,31
31/05/2020,73,728,71,679,2,33
01/06/2020,51,779,49,728,1,34
02/06/2020,42,821,36,764,6,40
03/06/2020,38,859,36,800,1,41
04/06/2020,11,870,10,810,1,42
05/06/2020,6,876,6,816,0,42
06/06/2020,38,914,34,850,2,44
07/06/2020,11,925,10,860,0,44
08/06/2020,9,934,8,868,0,44
09/06/2020,47,981,35,903,0,44
10/06/2020,153,1134,50,953,1,45
11/06/2020,8,1142,4,957,1,46
12/06/2020,8,1150,1,958,0,46
13/06/2020,13,1163,9,967,0,46
14/06/2020,38,1201,19,986,2,48
15/06/2020,3,1204,1,987,0,48
16/06/2020,26,1230,6,993,2,50
17/06/2020,3,1233,0,993,0,50
18/06/2020,77,1310,11,1004,1,51
19/06/2020,26,1336,9,1013,1,52
20/06/2020,4,1340,2,1015,0,52
21/06/2020,19,1359,2,1017,1,53
22/06/2020,10,1369,1,1018,0,53
23/06/2020,18,1387,5,1023,0,53
24/06/2020,10,1397,1,1024,0,53
25/06/2020,24,1421,2,1026,1,54
26/06/2020,4,1425,0,1026,1,55
27/06/2020,23,1448,2,1028,0,55
28/06/2020,22,1470,0,1028,0,55
29/06/2020,0,1470,0,1028,0,55
30/06/2020,0,1470,0,1028,0,55
