date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,0,0,0,0,0,0
23/03/2020,0,0,0,0,0,0
24/03/2020,0,0,0,0,0,0
25/03/2020,0,0,0,0,0,0
26/03/2020,0,0,0,0,0,0
27/03/2020,0,0,0,0,0,0
28/03/2020,0,0,0,0,0,0
29/03/2020,0,0,0,0,0,0
30/03/2020,0,0,0,0,0,0
31/03/2020,0,0,0,0,0,0
01/04/2020,0,0,0,0,0,0
02/04/2020,0,0,0,0,0,0
03/04/2020,0,0,0,0,0,0
04/04/2020,0,0,0,0,0,0
05/04/2020,0,0,0,0,0,0
06/04/2020,0,0,0,0,0,0
07/04/2020,0,0,0,0,0,0
08/04/2020,0,0,0,0,0,0
09/04/2020,0,0,0,0,0,0
10/04/2020,0,0,0,0,0,0
11/04/2020,0,0,0,0,0,0
12/04/2020,0,0,0,0,0,0
13/04/2020,0,0,0,0,0,0
14/04/2020,0,0,0,0,0,0
15/04/2020,0,0,0,0,0,0
16/04/2020,0,0,0,0,0,0
17/04/2020,0,0,0,0,0,0
18/04/2020,0,0,0,0,0,0
19/04/2020,0,0,0,0,0,0
20/04/2020,0,0,0,0,0,0
21/04/2020,0,0,0,0,0,0
22/04/2020,0,0,0,0,0,0
23/04/2020,1,1,1,1,0,0
24/04/2020,1,2,1,2,0,0
25/04/2020,0,2,0,2,0,0
26/04/2020,0,2,0,2,0,0
27/04/2020,0,2,0,2,0,0
28/04/2020,0,2,0,2,0,0
29/04/2020,0,2,0,2,0,0
30/04/2020,0,2,0,2,0,0
01/05/2020,0,2,0,2,0,0
02/05/2020,1,3,1,3,0,0
03/05/2020,0,3,0,3,0,0
04/05/2020,0,3,0,3,0,0
05/05/2020,1,4,1,4,0,0
06/05/2020,0,4,0,4,0,0
07/05/2020,0,4,0,4,0,0
08/05/2020,0,4,0,4,0,0
09/05/2020,0,4,0,4,0,0
10/05/2020,2,6,2,6,0,0
11/05/2020,2,8,2,8,0,0
12/05/2020,1,9,1,9,0,0
13/05/2020,3,12,2,11,1,1
14/05/2020,2,14,2,13,0,1
15/05/2020,2,16,2,15,0,1
16/05/2020,0,16,0,15,0,1
17/05/2020,4,20,4,19,0,1
18/05/2020,2,22,2,21,0,1
19/05/2020,1,23,1,22,0,1
20/05/2020,1,24,1,23,0,1
21/05/2020,1,25,1,24,0,1
22/05/2020,0,25,0,24,0,1
23/05/2020,1,26,1,25,0,1
24/05/2020,3,29,2,27,1,2
25/05/2020,0,29,0,27,0,2
26/05/2020,1,30,1,28,0,2
27/05/2020,4,34,4,32,0,2
28/05/2020,2,36,2,34,0,2
29/05/2020,0,36,0,34,0,2
30/05/2020,2,38,2,36,0,2
31/05/2020,1,39,1,37,0,2
01/06/2020,0,39,0,37,0,2
02/06/2020,3,42,3,40,0,2
03/06/2020,1,43,1,41,0,2
04/06/2020,1,44,0,41,1,3
05/06/2020,2,46,2,43,0,3
06/06/2020,1,47,0,43,1,4
07/06/2020,1,48,1,44,0,4
08/06/2020,0,48,0,44,0,4
09/06/2020,0,48,0,44,0,4
10/06/2020,0,48,0,44,0,4
11/06/2020,1,49,1,45,0,4
12/06/2020,0,49,0,45,0,4
13/06/2020,1,50,1,46,0,4
14/06/2020,0,50,0,46,0,4
15/06/2020,4,54,1,47,0,4
16/06/2020,1,55,0,47,0,4
17/06/2020,3,58,0,47,0,4
18/06/2020,3,61,1,48,2,6
19/06/2020,0,61,0,48,0,6
20/06/2020,1,62,0,48,0,6
21/06/2020,2,64,0,48,1,7
22/06/2020,0,64,0,48,0,7
23/06/2020,0,64,0,48,0,7
24/06/2020,2,66,0,48,0,7
25/06/2020,3,69,0,48,0,7
26/06/2020,0,69,0,48,0,7
27/06/2020,2,71,0,48,0,7
28/06/2020,0,71,0,48,0,7
29/06/2020,3,74,0,48,0,7
30/06/2020,0,74,0,48,0,7
01/07/2020,1,75,0,48,0,7
02/07/2020,0,75,0,48,0,7
03/07/2020,0,75,0,48,0,7
04/07/2020,0,75,0,48,0,7
05/07/2020,0,75,0,48,0,7
06/07/2020,0,75,0,48,0,7
07/07/2020,0,75,0,48,0,7
