date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,0,0,0,0,0,0
23/03/2020,0,0,0,0,0,0
24/03/2020,0,0,0,0,0,0
25/03/2020,0,0,0,0,0,0
26/03/2020,0,0,0,0,0,0
27/03/2020,0,0,0,0,0,0
28/03/2020,0,0,0,0,0,0
29/03/2020,0,0,0,0,0,0
30/03/2020,0,0,0,0,0,0
31/03/2020,0,0,0,0,0,0
01/04/2020,0,0,0,0,0,0
02/04/2020,0,0,0,0,0,0
03/04/2020,0,0,0,0,0,0
04/04/2020,0,0,0,0,0,0
05/04/2020,0,0,0,0,0,0
06/04/2020,0,0,0,0,0,0
07/04/2020,0,0,0,0,0,0
08/04/2020,0,0,0,0,0,0
09/04/2020,0,0,0,0,0,0
10/04/2020,0,0,0,0,0,0
11/04/2020,1,1,1,1,0,0
12/04/2020,0,1,0,1,0,0
13/04/2020,0,1,0,1,0,0
14/04/2020,0,1,0,1,0,0
15/04/2020,0,1,0,1,0,0
16/04/2020,0,1,0,1,0,0
17/04/2020,0,1,0,1,0,0
18/04/2020,0,1,0,1,0,0
19/04/2020,0,1,0,1,0,0
20/04/2020,0,1,0,1,0,0
21/04/2020,0,1,0,1,0,0
22/04/2020,0,1,0,1,0,0
23/04/2020,0,1,0,1,0,0
24/04/2020,0,1,0,1,0,0
25/04/2020,0,1,0,1,0,0
26/04/2020,0,1,0,1,0,0
27/04/2020,0,1,0,1,0,0
28/04/2020,2,3,2,3,0,0
29/04/2020,0,3,0,3,0,0
30/04/2020,0,3,0,3,0,0
01/05/2020,0,3,0,3,0,0
02/05/2020,0,3,0,3,0,0
03/05/2020,0,3,0,3,0,0
04/05/2020,2,5,1,4,0,0
05/05/2020,0,5,0,4,0,0
06/05/2020,0,5,0,4,0,0
07/05/2020,0,5,0,4,0,0
08/05/2020,0,5,0,4,0,0
09/05/2020,0,5,0,4,0,0
10/05/2020,2,7,1,5,0,0
11/05/2020,0,7,0,5,0,0
12/05/2020,0,7,0,5,0,0
13/05/2020,0,7,0,5,0,0
14/05/2020,0,7,0,5,0,0
15/05/2020,0,7,0,5,0,0
16/05/2020,0,7,0,5,0,0
17/05/2020,0,7,0,5,0,0
18/05/2020,0,7,0,5,0,0
19/05/2020,0,7,0,5,0,0
20/05/2020,0,7,0,5,0,0
21/05/2020,0,7,0,5,0,0
22/05/2020,0,7,0,5,0,0
23/05/2020,0,7,0,5,0,0
24/05/2020,1,8,0,5,1,1
25/05/2020,0,8,0,5,0,1
26/05/2020,1,9,1,6,0,1
27/05/2020,0,9,0,6,0,1
28/05/2020,0,9,0,6,0,1
29/05/2020,0,9,0,6,0,1
30/05/2020,0,9,0,6,0,1
31/05/2020,0,9,0,6,0,1
01/06/2020,0,9,0,6,0,1
02/06/2020,0,9,0,6,0,1
03/06/2020,0,9,0,6,0,1
04/06/2020,1,10,1,7,0,1
05/06/2020,0,10,0,7,0,1
06/06/2020,0,10,0,7,0,1
07/06/2020,0,10,0,7,0,1
08/06/2020,0,10,0,7,0,1
09/06/2020,0,10,0,7,0,1
10/06/2020,0,10,0,7,0,1
11/06/2020,0,10,0,7,0,1
12/06/2020,0,10,0,7,0,1
13/06/2020,3,13,1,8,0,1
14/06/2020,0,13,0,8,0,1
15/06/2020,0,13,0,8,0,1
16/06/2020,1,14,1,9,0,1
17/06/2020,0,14,0,9,0,1
18/06/2020,3,17,3,12,0,1
19/06/2020,6,23,6,18,0,1
20/06/2020,1,24,0,18,0,1
21/06/2020,2,26,1,19,1,2
22/06/2020,3,29,3,22,0,2
23/06/2020,0,29,0,22,0,2
24/06/2020,2,31,1,23,0,2
25/06/2020,1,32,0,23,0,2
26/06/2020,2,34,0,23,0,2
27/06/2020,0,34,0,23,0,2
28/06/2020,4,38,0,23,0,2
29/06/2020,0,38,0,23,0,2
30/06/2020,3,41,0,23,0,2
01/07/2020,5,46,0,23,0,2
02/07/2020,5,51,0,23,0,2
03/07/2020,0,51,0,23,0,2
04/07/2020,1,52,0,23,0,2
05/07/2020,3,55,0,23,0,2
06/07/2020,0,55,0,23,0,2
07/07/2020,2,57,0,23,0,2
08/07/2020,0,57,0,23,0,2
09/07/2020,7,64,0,23,0,2
10/07/2020,1,65,0,23,0,2
11/07/2020,1,66,0,23,0,2
12/07/2020,1,67,0,23,0,2
13/07/2020,1,68,0,23,0,2
14/07/2020,2,70,0,23,0,2
15/07/2020,1,71,0,23,0,2
16/07/2020,5,76,0,23,0,2
17/07/2020,5,81,0,23,0,2
18/07/2020,0,81,0,23,0,2
19/07/2020,0,81,0,23,0,2
20/07/2020,0,81,0,23,0,2
