date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,1,1,1,1,0,0
10/03/2020,0,1,0,1,0,0
11/03/2020,0,1,0,1,0,0
12/03/2020,0,1,0,1,0,0
13/03/2020,2,3,2,3,0,0
14/03/2020,0,3,0,3,0,0
15/03/2020,0,3,0,3,0,0
16/03/2020,2,5,2,5,0,0
17/03/2020,8,13,7,12,0,0
18/03/2020,0,13,0,12,0,0
19/03/2020,1,14,1,13,0,0
20/03/2020,1,15,1,14,0,0
21/03/2020,12,27,10,24,1,1
22/03/2020,5,32,5,29,0,1
23/03/2020,6,38,5,34,1,2
24/03/2020,29,67,28,62,0,2
25/03/2020,5,72,4,66,1,3
26/03/2020,2,74,2,68,0,3
27/03/2020,0,74,0,68,0,3
28/03/2020,11,85,9,77,1,4
29/03/2020,8,93,6,83,1,5
30/03/2020,13,106,10,93,3,8
31/03/2020,11,117,10,103,0,8
01/04/2020,31,148,29,132,0,8
02/04/2020,3,151,2,134,0,8
03/04/2020,15,166,9,143,3,11
04/04/2020,14,180,12,155,2,13
05/04/2020,16,196,14,169,0,13
06/04/2020,12,208,10,179,2,15
07/04/2020,13,221,9,188,2,17
08/04/2020,89,310,80,268,6,23
09/04/2020,33,343,25,293,4,27
10/04/2020,71,414,62,355,5,32
11/04/2020,58,472,45,400,9,41
12/04/2020,9,481,8,408,1,42
13/04/2020,5,486,2,410,0,42
14/04/2020,14,500,11,421,1,43
15/04/2020,18,518,12,433,2,45
16/04/2020,25,543,13,446,3,48
17/04/2020,43,586,30,476,2,50
18/04/2020,20,606,9,485,2,52
19/04/2020,10,616,7,492,0,52
20/04/2020,48,664,33,525,3,55
21/04/2020,29,693,16,541,1,56
22/04/2020,27,720,19,560,1,57
23/04/2020,34,754,20,580,3,60
24/04/2020,21,775,14,594,2,62
25/04/2020,18,793,13,607,0,62
26/04/2020,24,817,13,620,0,62
27/04/2020,7,824,4,624,1,63
28/04/2020,33,857,13,637,6,69
29/04/2020,21,878,8,645,1,70
30/04/2020,39,917,27,672,3,73
01/05/2020,63,980,21,693,2,75
02/05/2020,42,1022,13,706,0,75
03/05/2020,2,1024,2,708,0,75
04/05/2020,34,1058,15,723,0,75
05/05/2020,30,1088,10,733,3,78
06/05/2020,41,1129,14,747,2,80
07/05/2020,44,1173,18,765,1,81
08/05/2020,39,1212,17,782,1,82
09/05/2020,53,1265,16,798,3,85
10/05/2020,10,1275,2,800,1,86
11/05/2020,31,1306,10,810,2,88
12/05/2020,31,1337,12,822,1,89
13/05/2020,57,1394,14,836,4,93
14/05/2020,73,1467,11,847,2,95
15/05/2020,40,1507,8,855,0,95
16/05/2020,62,1569,5,860,5,100
17/05/2020,74,1643,8,868,3,103
18/05/2020,27,1670,2,870,4,107
19/05/2020,84,1754,1,871,2,109
20/05/2020,75,1829,0,871,1,110
21/05/2020,59,1888,0,871,2,112
22/05/2020,119,2007,0,871,5,117
23/05/2020,87,2094,0,871,1,118
24/05/2020,98,2192,0,871,2,120
25/05/2020,49,2241,0,871,0,120
26/05/2020,149,2390,0,871,1,121
27/05/2020,120,2510,0,871,1,122
28/05/2020,123,2633,0,871,3,125
29/05/2020,101,2734,0,871,3,128
30/05/2020,158,2892,1,872,0,128
31/05/2020,0,2892,0,872,0,128
