date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0
22/03/2020,1,1,1,1,0,0
23/03/2020,0,1,0,1,0,0
24/03/2020,1,2,1,2,0,0
25/03/2020,0,2,0,2,0,0
26/03/2020,0,2,0,2,0,0
27/03/2020,0,2,0,2,0,0
28/03/2020,1,3,1,3,0,0
29/03/2020,1,4,1,4,0,0
30/03/2020,0,4,0,4,0,0
31/03/2020,7,11,7,11,0,0
01/04/2020,5,16,4,15,1,1
02/04/2020,0,16,0,15,0,1
03/04/2020,0,16,0,15,0,1
04/04/2020,0,16,0,15,0,1
05/04/2020,0,16,0,15,0,1
06/04/2020,0,16,0,15,0,1
07/04/2020,0,16,0,15,0,1
08/04/2020,1,17,1,16,0,1
09/04/2020,1,18,1,17,0,1
10/04/2020,1,19,1,18,0,1
11/04/2020,12,31,12,30,0,1
12/04/2020,0,31,0,30,0,1
13/04/2020,0,31,0,30,0,1
14/04/2020,0,31,0,30,0,1
15/04/2020,0,31,0,30,0,1
16/04/2020,0,31,0,30,0,1
17/04/2020,0,31,0,30,0,1
18/04/2020,0,31,0,30,0,1
19/04/2020,0,31,0,30,0,1
20/04/2020,2,33,1,31,1,2
21/04/2020,0,33,0,31,0,2
22/04/2020,0,33,0,31,0,2
23/04/2020,0,33,0,31,0,2
24/04/2020,4,37,3,34,1,3
25/04/2020,6,43,5,39,1,4
26/04/2020,0,43,0,39,0,4
27/04/2020,0,43,0,39,0,4
28/04/2020,0,43,0,39,0,4
29/04/2020,0,43,0,39,0,4
30/04/2020,0,43,0,39,0,4
01/05/2020,0,43,0,39,0,4
02/05/2020,2,45,2,41,0,4
03/05/2020,3,48,1,42,2,6
04/05/2020,0,48,0,42,0,6
05/05/2020,2,50,2,44,0,6
06/05/2020,0,50,0,44,0,6
07/05/2020,0,50,0,44,0,6
08/05/2020,0,50,0,44,0,6
09/05/2020,1,51,1,45,0,6
10/05/2020,1,52,1,46,0,6
11/05/2020,0,52,0,46,0,6
12/05/2020,0,52,0,46,0,6
13/05/2020,0,52,0,46,0,6
14/05/2020,0,52,0,46,0,6
15/05/2020,0,52,0,46,0,6
16/05/2020,3,55,0,46,0,6
17/05/2020,1,56,1,47,0,6
18/05/2020,1,57,1,48,0,6
19/05/2020,0,57,0,48,0,6
20/05/2020,0,57,0,48,0,6
21/05/2020,1,58,0,48,0,6
22/05/2020,0,58,0,48,0,6
23/05/2020,5,63,0,48,0,6
24/05/2020,2,65,0,48,0,6
25/05/2020,0,65,0,48,0,6
26/05/2020,2,67,0,48,0,6
27/05/2020,13,80,0,48,0,6
28/05/2020,13,93,0,48,0,6
29/05/2020,20,113,0,48,0,6
30/05/2020,44,157,0,48,0,6
31/05/2020,34,191,0,48,0,6
01/06/2020,20,211,0,48,0,6
02/06/2020,29,240,0,48,0,6
03/06/2020,24,264,0,48,0,6
04/06/2020,48,312,0,48,0,6
