date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,1,1,1,1,0,0
14/03/2020,0,1,0,1,0,0
15/03/2020,0,1,0,1,0,0
16/03/2020,0,1,0,1,0,0
17/03/2020,0,1,0,1,0,0
18/03/2020,0,1,0,1,0,0
19/03/2020,0,1,0,1,0,0
20/03/2020,0,1,0,1,0,0
21/03/2020,0,1,0,1,0,0
22/03/2020,0,1,0,1,0,0
23/03/2020,4,5,4,5,0,0
24/03/2020,2,7,2,7,0,0
25/03/2020,1,8,1,8,0,0
26/03/2020,0,8,0,8,0,0
27/03/2020,0,8,0,8,0,0
28/03/2020,0,8,0,8,0,0
29/03/2020,0,8,0,8,0,0
30/03/2020,0,8,0,8,0,0
31/03/2020,3,11,3,11,0,0
01/04/2020,1,12,1,12,0,0
02/04/2020,0,12,0,12,0,0
03/04/2020,1,13,0,12,1,1
04/04/2020,0,13,0,12,0,1
05/04/2020,0,13,0,12,0,1
06/04/2020,0,13,0,12,0,1
07/04/2020,0,13,0,12,0,1
08/04/2020,0,13,0,12,0,1
09/04/2020,1,14,0,12,0,1
10/04/2020,1,15,0,12,1,2
11/04/2020,5,20,2,14,2,4
12/04/2020,0,20,0,14,0,4
13/04/2020,2,22,0,14,0,4
14/04/2020,15,37,9,23,0,4
15/04/2020,0,37,0,23,0,4
16/04/2020,5,42,1,24,0,4
17/04/2020,1,43,0,24,0,4
18/04/2020,1,44,0,24,0,4
19/04/2020,6,50,5,29,0,4
20/04/2020,3,53,0,29,0,4
21/04/2020,2,55,0,29,0,4
22/04/2020,40,95,0,29,0,4
23/04/2020,31,126,5,34,1,5
24/04/2020,26,152,1,35,0,5
25/04/2020,23,175,2,37,0,5
26/04/2020,44,219,1,38,0,5
27/04/2020,16,235,0,38,0,5
28/04/2020,104,339,2,40,0,5
29/04/2020,4,343,0,40,1,6
30/04/2020,8,351,0,40,0,6
01/05/2020,103,454,0,40,0,6
02/05/2020,4,458,0,40,0,6
03/05/2020,85,543,0,40,0,6
04/05/2020,0,543,0,40,0,6
05/05/2020,154,697,0,40,0,6
06/05/2020,20,717,0,40,0,6
07/05/2020,17,734,0,40,0,6
08/05/2020,76,810,0,40,0,6
09/05/2020,63,873,0,40,0,6
10/05/2020,24,897,0,40,0,6
11/05/2020,4,901,0,40,0,6
12/05/2020,8,909,0,40,1,7
13/05/2020,2,911,0,40,0,7
14/05/2020,1,912,0,40,0,7
15/05/2020,0,912,0,40,0,7
