age,total
29,62
32,59
30,59
28,57
26,52
31,51
34,49
33,47
50,45
37,44
45,44
54,42
48,42
42,42
25,41
35,41
36,41
38,40
58,40
47,39
55,39
39,38
41,37
49,37
57,36
27,36
40,34
51,34
24,34
23,32
44,31
59,31
62,31
52,31
21,30
61,29
64,28
53,28
22,28
43,28
56,26
60,23
46,23
63,19
66,18
65,18
70,18
67,18
72,17
73,16
19,16
18,15
68,15
69,14
74,14
20,13
71,13
15,11
76,8
9,8
2,8
80,7
82,7
84,7
12,7
16,7
79,6
75,6
78,6
5,6
77,6
0,5
8,5
83,5
85,5
17,4
81,4
87,4
88,4
13,3
1,3
6,3
14,3
3,3
11,2
4,2
91,2
7,2
10,2
95,1
90,1
94,1
93,1
92,1
86,1
96,1
97,1
