city,total,lat,lng
Bogota,1121,4.59808,-74.0760439
Cali,333,3.4517923,-76.5324943
Medellin,149,6.2443382,-75.573553
Cartagena,100,10.4195841,-75.5271224
Barranquilla,60,10.9799669,-74.8013085
Santa Marta,40,11.2422289,-74.2055606
Neiva,38,2.9263127,-75.2891733
Pereira,38,4.8142912,-75.6946451
Cucuta,36,7.8971458,-72.5080387
Palmira,34,3.5308373,-76.2988048
Armenia,31,4.536307,-75.6723751
Envigado,22,6.1701345,-75.5874132
Ibague,19,4.4446595,-75.2430012
Valledupar,19,10.4650361,-73.2528426
Bello,18,6.334997,-75.5582665
Villavicencio,15,4.1315113,-73.6206667
Popayan,15,2.4420181,-76.6062744
Ipiales,13,0.8278641,-77.6402069
Soledad,13,10.905451549999999,-74.77405314080215
Dosquebradas,13,4.839737400000001,-75.67269689398901
Chia,12,4.8612976,-74.0599286
Soacha,12,4.5821279,-74.2197205
Togui,11,5.917044199999999,-73.4964349053907
Pasto,11,1.2146286,-77.2782516
Bucaramanga,11,7.1114611,-73.1172869
Rionegro,10,6.1536166,-75.3741691
Itagui,10,6.1724352,-75.6093254
Cota,9,4.8093624,-74.1015739
La Dorada,9,5.4544379,-74.6633693
Sabaneta,9,6.13882045,-75.60974996866784
Cajica,8,4.9172215,-74.0255474
Manizales,8,5.0681104,-75.5173198
Tulua,8,4.0856667,-76.1972779
Cartago,8,4.7113384499999995,-75.93193308901687
Turbaco,7,10.3305871,-75.4127345
Tunja,6,5.5323632,-73.361362
Yumbo,6,3.5952779,-76.51413115988677
Calarca,5,4.4542787,-75.6463072673771
Floridablanca,5,7.0625358,-73.0858228
Yopal,5,5.3356662,-72.3936931
Buga,5,3.9000578,-76.302013
Monteria,4,8.7558921,-75.887029
La Estrella,4,4.8875784,-75.6675996
Villapinzon,4,5.244351699999999,-73.59302114956787
Apartado,4,7.8849011,-76.6227461
San Andres,4,6.8180711,-72.8207060823598
El Dovio,4,4.541472199999999,-76.30740306229501
Funza,4,4.7163036,-74.2122206
Santana,4,6.055599150000001,-73.48209236741033
Jamundi,4,3.22475455,-76.618841826802
Buenaventura,4,3.6707494,-76.98077577005347
Montebello,3,5.9189243000000005,-75.51309469944826
Madrid,3,4.77404575,-74.28145543477225
Montenegro,3,4.51695305,-75.82308053549139
Mosquera,3,4.6759817,-74.2302707879411
Zipaquira,3,5.0235325,-74.0039613
Palermo,3,2.9100775,-75.41109206555537
Circasia,3,4.6113471,-75.66242566383346
Chinchina,3,5.00215285,-75.70398901206929
Caldas,3,5.3302514,-75.2873471
Tenjo,3,4.82671705,-74.1535700740977
Trujillo,3,4.233587699999999,-76.33634485111209
Villeta,3,5.00754475,-74.48493617013274
Guarne,2,6.272654,-75.43925679397356
