country_origin,total
Colombia,1106
España,222
Estados Unidos,154
Ecuador,37
colombia,32
México,29
Panamá,25
Turquía,23
Francia,14
Jamaica,14
Brasil,12
Puerto Rico,11
Italia,10
0,8
República Dominicana,8
Londres,8
Isla San Martín,7
Alemania,7
Estados unidos,5
Egipto,5
Perú,5
Canadá,4
Argentina,3
Grecia,3
Inglaterra,3
Marruecos,2
Aruba,2
Venezuela,2
Costa Rica,2
Chile,2
Australia,1
Bélgica,1
Arabia,1
españa,1
Croacia,1
Cuba,1
Curazao,1
Dubai,1
Emiratos Árabes,1
Guatemala,1
Honduras,1
Irlanda,1
Israel Egipto,1
Suiza,1
Europa,1
