dept_dist,total,lat,lng
Bogota D.C.,992,4.59808,-74.0760439
Valle del Cauca,314,4.0639569,-76.12337674536764
Antioquia,235,7.153843350000001,-75.444040009994
Cartagena D.T. y C,65,2.8894434,-73.783892
Cundinamarca,64,5.0000086,-74.1666756
Barranquilla D.E.,49,10.9799669,-74.8013085
Risaralda,46,5.2102948,-75.9842236
Quindio,40,4.3435926,-75.7232898
Huila,38,2.4738993,-75.5900113
Norte de Santander,27,8.4417924,-73.0492505
Santa Marta D.T. y C.,26,2.8894434,-73.783892
Boyaca,19,5.6278979,-72.8268617
Caldas,19,5.3302514,-75.2873471
Atlantico,18,10.7500084,-75.0000086
Cesar,17,9.3333415,-73.5000086
Tolima,15,3.7500086,-75.2500086
Santander,14,7.0000085,-73.2500086
Cauca,14,2.715645,-76.662665
Meta,14,3.5000086,-73.0000086
Narino,9,1.5,-78.0000086
Cordoba,7,8.3344713,-75.6666238
Bolivar,6,9.0,-74.333333
Casanare,2,5.5000085,-71.5000086
San Andres,2,6.8180711,-72.8207060823598
La Guajira,1,11.2780115,-72.6135766
Sucre,1,9.0,-75.0
