date,cases,accum_cases,recovered,accum_recovered,deaths,accum_deaths
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,1,1,1,1,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,2,3,2,3,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,6,9,6,9,0,0
12/03/2020,4,13,2,11,0,0
13/03/2020,3,16,3,14,0,0
14/03/2020,8,24,6,20,0,0
15/03/2020,21,45,16,36,0,0
16/03/2020,12,57,9,45,0,0
17/03/2020,18,75,8,53,0,0
18/03/2020,27,102,13,66,0,0
19/03/2020,26,128,11,77,0,0
20/03/2020,47,175,16,93,3,3
21/03/2020,35,210,13,106,2,5
22/03/2020,30,240,14,120,1,6
23/03/2020,66,306,20,140,3,9
24/03/2020,113,419,12,152,2,11
25/03/2020,62,481,3,155,0,0
26/03/2020,10,491,1,156,1,12
27/03/2020,48,539,1,157,4,16
28/03/2020,69,608,7,164,4,20
29/03/2020,94,702,1,165,2,22
30/03/2020,96,798,2,167,5,27
31/03/2020,108,906,4,171,3,30
01/04/2020,159,1065,3,174,4,34
02/04/2020,96,1161,0,0,2,36
03/04/2020,106,1267,0,0,7,43
04/04/2020,139,1406,0,0,5,48
05/04/2020,79,1485,0,0,2,50
06/04/2020,94,1579,0,0,4,54
07/04/2020,201,1780,0,0,3,57
08/04/2020,274,2054,0,0,4,61
09/04/2020,169,2223,0,0,7,68
