date,cases,accum_cases,recovered,accum_recovered,deaths,accum_deaths
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0
15/03/2020,1,1,0,0,0,0
16/03/2020,1,2,1,1,0,0
17/03/2020,0,2,0,1,0,0
18/03/2020,2,4,2,3,0,0
19/03/2020,1,5,1,4,0,0
20/03/2020,3,8,3,7,0,0
21/03/2020,2,10,1,8,0,0
22/03/2020,0,10,0,8,0,0
23/03/2020,5,15,4,12,0,0
24/03/2020,7,22,3,15,0,0
25/03/2020,1,23,0,15,0,0
26/03/2020,0,23,0,15,0,0
27/03/2020,1,24,0,15,0,0
28/03/2020,2,26,1,16,1,1
29/03/2020,0,26,0,16,0,1
30/03/2020,4,30,0,16,1,2
31/03/2020,9,39,0,16,1,3
01/04/2020,5,44,0,16,0,3
02/04/2020,0,44,0,16,0,3
03/04/2020,3,47,0,16,0,3
04/04/2020,4,51,0,16,0,3
05/04/2020,3,54,0,16,0,3
06/04/2020,3,57,1,17,0,3
07/04/2020,4,61,0,17,0,3
08/04/2020,4,65,0,17,0,3
09/04/2020,7,72,0,17,0,3
10/04/2020,11,83,0,17,1,4
11/04/2020,21,104,0,17,1,5
12/04/2020,7,111,0,17,0,5
13/04/2020,4,115,0,17,0,5
14/04/2020,0,115,0,17,0,5
